,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2019-08-10,Home,L,0,3,Brighton,0.7,0.8,49.0,Watford
1,2019-08-17,Away,L,0,1,Everton,1.2,0.7,56.0,Watford
2,2019-08-24,Home,L,1,3,West Ham,2.3,3.5,55.0,Watford
4,2019-08-31,Away,D,1,1,Newcastle Utd,1.0,1.0,51.0,Watford
5,2019-09-15,Home,D,2,2,Arsenal,2.7,0.8,52.0,Watford
6,2019-09-21,Away,L,0,8,Manchester City,0.4,5.9,32.0,Watford
8,2019-09-28,Away,L,0,2,Wolves,1.4,1.4,61.0,Watford
9,2019-10-05,Home,D,0,0,Sheffield Utd,1.4,0.4,40.0,Watford
10,2019-10-19,Away,D,1,1,Tottenham,0.7,1.0,31.0,Watford
11,2019-10-26,Home,D,0,0,Bournemouth,0.8,1.0,41.0,Watford
13,2019-11-02,Home,L,1,2,Chelsea,1.3,2.1,33.0,Watford
14,2019-11-08,Away,W,2,0,Norwich City,1.3,0.7,34.0,Watford
15,2019-11-23,Home,L,0,3,Burnley,1.0,1.9,62.0,Watford
16,2019-11-30,Away,L,1,2,Southampton,0.6,2.1,37.0,Watford
17,2019-12-04,Away,L,0,2,Leicester City,0.2,2.4,38.0,Watford
18,2019-12-07,Home,D,0,0,Crystal Palace,1.4,0.2,51.0,Watford
19,2019-12-14,Away,L,0,2,Liverpool,1.0,1.4,32.0,Watford
20,2019-12-22,Home,W,2,0,Manchester Utd,1.5,1.8,37.0,Watford
21,2019-12-26,Away,D,1,1,Sheffield Utd,0.6,2.4,42.0,Watford
22,2019-12-28,Home,W,3,0,Aston Villa,2.8,0.6,49.0,Watford
23,2020-01-01,Home,W,2,1,Wolves,1.1,1.2,37.0,Watford
25,2020-01-12,Away,W,3,0,Bournemouth,2.0,0.4,43.0,Watford
26,2020-01-18,Home,D,0,0,Tottenham,2.5,1.9,42.0,Watford
27,2020-01-21,Away,L,1,2,Aston Villa,1.8,1.3,36.0,Watford
29,2020-02-01,Home,L,2,3,Everton,0.9,2.2,45.0,Watford
30,2020-02-08,Away,D,1,1,Brighton,0.2,0.8,34.0,Watford
31,2020-02-23,Away,L,0,3,Manchester Utd,0.3,2.4,43.0,Watford
32,2020-02-29,Home,W,3,0,Liverpool,2.3,0.3,30.0,Watford
33,2020-03-07,Away,L,0,1,Crystal Palace,0.6,0.8,56.0,Watford
34,2020-06-20,Home,D,1,1,Leicester City,1.3,1.0,33.0,Watford
35,2020-06-25,Away,L,0,1,Burnley,0.7,0.9,46.0,Watford
36,2020-06-28,Home,L,1,3,Southampton,0.5,1.3,48.0,Watford
37,2020-07-04,Away,L,0,3,Chelsea,0.6,2.5,30.0,Watford
38,2020-07-07,Home,W,2,1,Norwich City,1.2,1.2,44.0,Watford
39,2020-07-11,Home,W,2,1,Newcastle Utd,3.4,1.3,49.0,Watford
40,2020-07-17,Away,L,1,3,West Ham,1.5,0.9,59.0,Watford
41,2020-07-21,Home,L,0,4,Manchester City,0.1,3.3,24.0,Watford
42,2020-07-26,Away,L,2,3,Arsenal,3.7,2.3,50.0,Watford
