,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2019-08-11,Away,L,0,4,Manchester Utd,1.0,2.2,54.0,Chelsea
2,2019-08-18,Home,D,1,1,Leicester City,1.1,0.8,50.0,Chelsea
3,2019-08-24,Away,W,3,2,Norwich City,1.5,1.1,54.0,Chelsea
4,2019-08-31,Home,D,2,2,Sheffield Utd,2.0,1.1,62.0,Chelsea
5,2019-09-14,Away,W,5,2,Wolves,2.7,1.7,54.0,Chelsea
7,2019-09-22,Home,L,1,2,Liverpool,1.3,0.6,55.0,Chelsea
9,2019-09-28,Home,W,2,0,Brighton,3.7,0.6,53.0,Chelsea
11,2019-10-06,Away,W,4,1,Southampton,1.7,1.4,57.0,Chelsea
12,2019-10-19,Home,W,1,0,Newcastle Utd,2.0,0.4,71.0,Chelsea
14,2019-10-26,Away,W,4,2,Burnley,0.9,2.1,63.0,Chelsea
16,2019-11-02,Away,W,2,1,Watford,2.1,1.3,67.0,Chelsea
18,2019-11-09,Home,W,2,0,Crystal Palace,3.6,0.2,60.0,Chelsea
19,2019-11-23,Away,L,1,2,Manchester City,0.9,1.0,53.0,Chelsea
21,2019-11-30,Home,L,0,1,West Ham,2.3,0.9,66.0,Chelsea
22,2019-12-04,Home,W,2,1,Aston Villa,1.8,1.0,64.0,Chelsea
23,2019-12-07,Away,L,1,3,Everton,1.1,1.8,69.0,Chelsea
25,2019-12-14,Home,L,0,1,Bournemouth,2.1,1.0,66.0,Chelsea
26,2019-12-22,Away,W,2,0,Tottenham,1.3,0.3,55.0,Chelsea
27,2019-12-26,Home,L,0,2,Southampton,0.7,1.1,66.0,Chelsea
28,2019-12-29,Away,W,2,1,Arsenal,1.4,0.5,58.0,Chelsea
29,2020-01-01,Away,D,1,1,Brighton,1.3,1.3,52.0,Chelsea
31,2020-01-11,Home,W,3,0,Burnley,2.7,0.8,65.0,Chelsea
32,2020-01-18,Away,L,0,1,Newcastle Utd,2.4,0.6,69.0,Chelsea
33,2020-01-21,Home,D,2,2,Arsenal,2.9,0.4,58.0,Chelsea
35,2020-02-01,Away,D,2,2,Leicester City,0.6,1.4,51.0,Chelsea
36,2020-02-17,Home,L,0,2,Manchester Utd,0.9,0.6,61.0,Chelsea
37,2020-02-22,Home,W,2,1,Tottenham,1.7,0.2,49.0,Chelsea
39,2020-02-29,Away,D,2,2,Bournemouth,1.9,1.4,73.0,Chelsea
41,2020-03-08,Home,W,4,0,Everton,1.8,0.5,60.0,Chelsea
42,2020-06-21,Away,W,2,1,Aston Villa,1.1,1.0,73.0,Chelsea
43,2020-06-25,Home,W,2,1,Manchester City,3.2,0.8,35.0,Chelsea
45,2020-07-01,Away,L,2,3,West Ham,1.6,2.2,71.0,Chelsea
46,2020-07-04,Home,W,3,0,Watford,2.5,0.6,70.0,Chelsea
47,2020-07-07,Away,W,3,2,Crystal Palace,1.9,1.5,57.0,Chelsea
48,2020-07-11,Away,L,0,3,Sheffield Utd,1.2,2.3,76.0,Chelsea
49,2020-07-14,Home,W,1,0,Norwich City,2.5,0.1,67.0,Chelsea
51,2020-07-22,Away,L,3,5,Liverpool,2.4,1.7,50.0,Chelsea
52,2020-07-26,Home,W,2,0,Wolves,1.4,0.2,62.0,Chelsea
