,team,spi,off,def,date
0,Man City,91.2,3.2,0.5,2018-02-25
1,Liverpool,88.8,3.1,0.6,2018-02-25
2,Tottenham,86.9,2.6,0.5,2018-02-25
3,Man United,78.6,2.2,0.7,2018-02-25
4,Chelsea,80.9,2.4,0.7,2018-02-25
5,Arsenal,80.2,2.7,0.9,2018-02-25
6,Leicester,63.9,1.8,1.0,2018-02-25
7,Burnley,59.3,1.4,0.8,2018-02-25
8,Everton,57.5,1.6,1.1,2018-02-25
9,Watford,60.6,1.7,1.1,2018-02-25
10,Bournemouth,56.6,1.8,1.3,2018-02-25
11,West Ham,56.9,1.7,1.2,2018-02-25
12,Brighton,54.8,1.4,1.0,2018-02-25
13,Crystal Palace,61.1,1.7,1.0,2018-02-25
14,Newcastle,55.2,1.5,1.1,2018-02-25
15,Southamon,59.6,1.7,1.1,2018-02-25
16,Huddersfield,48.7,1.3,1.1,2018-02-25
17,Swansea City,51.9,1.3,1.1,2018-02-25
18,Stoke City,52.6,1.5,1.2,2018-02-25
19,West Brom,52.4,1.4,1.1,2018-02-25
