,team,spi,off,def,date
0,Man City,88.5,2.9,0.5,2017-09-17
1,Man United,85.1,2.5,0.5,2017-09-17
2,Chelsea,82.6,2.5,0.6,2017-09-17
3,Tottenham,81.4,2.3,0.6,2017-09-17
4,Arsenal,77.6,2.4,0.8,2017-09-17
5,Liverpool,76.9,2.3,0.8,2017-09-17
6,Everton,63.2,1.8,1.0,2017-09-17
7,Burnley,60.3,1.6,1.0,2017-09-17
8,Southamon,61.6,1.6,0.9,2017-09-17
9,Leicester,62.1,1.8,1.0,2017-09-17
10,Stoke City,61.3,1.7,1.0,2017-09-17
11,Newcastle,55.9,1.5,1.1,2017-09-17
12,Watford,55.5,1.5,1.1,2017-09-17
13,West Brom,55.6,1.4,1.0,2017-09-17
14,West Ham,58.1,1.6,1.1,2017-09-17
15,Swansea City,55.5,1.5,1.0,2017-09-17
16,Bournemouth,54.5,1.6,1.2,2017-09-17
17,Huddersfield,47.3,1.2,1.2,2017-09-17
18,Crystal Palace,56.1,1.5,1.1,2017-09-17
19,Brighton,47.9,1.2,1.1,2017-09-17
