,team,spi,off,def,date
0,Man City,91.2,3.2,0.5,2018-02-21
1,Liverpool,88.6,3.0,0.6,2018-02-21
2,Tottenham,86.5,2.7,0.5,2018-02-21
3,Man United,78.4,2.2,0.7,2018-02-21
4,Chelsea,81.0,2.4,0.7,2018-02-21
5,Arsenal,81.4,2.8,0.9,2018-02-21
6,Leicester,64.4,1.8,1.0,2018-02-21
7,Burnley,59.6,1.4,0.8,2018-02-21
8,Everton,57.6,1.7,1.2,2018-02-21
9,Bournemouth,57.5,1.7,1.2,2018-02-21
10,Watford,60.5,1.8,1.1,2018-02-21
11,West Ham,57.2,1.7,1.2,2018-02-21
12,Crystal Palace,62.0,1.7,1.0,2018-02-21
13,Swansea City,54.4,1.3,1.0,2018-02-21
14,Newcastle,54.3,1.5,1.1,2018-02-21
15,Southamon,59.3,1.7,1.1,2018-02-21
16,Brighton,52.3,1.3,1.0,2018-02-21
17,Huddersfield,47.5,1.2,1.1,2018-02-21
18,Stoke City,52.2,1.5,1.2,2018-02-21
19,West Brom,53.7,1.4,1.0,2018-02-21
