,team,spi,off,def,date
0,Man City,90.1,3.1,0.5,2018-01-22
1,Man United,79.7,2.3,0.7,2018-01-22
2,Chelsea,85.0,2.6,0.5,2018-01-22
3,Liverpool,86.4,2.9,0.7,2018-01-22
4,Tottenham,84.6,2.6,0.6,2018-01-22
5,Arsenal,82.7,2.8,0.8,2018-01-22
6,Leicester,66.0,1.8,0.9,2018-01-22
7,Burnley,60.3,1.4,0.8,2018-01-22
8,Everton,56.5,1.6,1.1,2018-01-22
9,Crystal Palace,63.1,1.7,1.0,2018-01-22
10,West Ham,58.2,1.7,1.2,2018-01-22
11,Watford,57.4,1.7,1.2,2018-01-22
12,Bournemouth,57.2,1.7,1.1,2018-01-22
13,Southamon,59.6,1.6,1.0,2018-01-22
14,Stoke City,53.4,1.6,1.3,2018-01-22
15,Newcastle,53.0,1.4,1.1,2018-01-22
16,Brighton,49.5,1.3,1.1,2018-01-22
17,Huddersfield,45.8,1.2,1.2,2018-01-22
18,West Brom,56.0,1.4,0.9,2018-01-22
19,Swansea City,50.4,1.2,1.0,2018-01-22
