,team,spi,off,def,date
0,Man City,90.0,2.9,0.5,2017-10-11
1,Man United,86.9,2.7,0.5,2017-10-11
2,Chelsea,83.9,2.5,0.6,2017-10-11
3,Tottenham,83.3,2.5,0.6,2017-10-11
4,Arsenal,79.1,2.5,0.8,2017-10-11
5,Liverpool,77.8,2.3,0.8,2017-10-11
6,Burnley,59.8,1.6,0.9,2017-10-11
7,Everton,62.3,1.7,1.0,2017-10-11
8,Watford,57.0,1.6,1.1,2017-10-11
9,Stoke City,60.2,1.7,1.0,2017-10-11
10,Southamon,61.4,1.6,0.9,2017-10-11
11,Leicester,61.6,1.7,1.0,2017-10-11
12,West Ham,59.0,1.6,1.1,2017-10-11
13,Newcastle,55.4,1.5,1.0,2017-10-11
14,West Brom,54.3,1.4,1.0,2017-10-11
15,Swansea City,54.1,1.4,1.0,2017-10-11
16,Bournemouth,54.6,1.6,1.2,2017-10-11
17,Brighton,47.8,1.2,1.1,2017-10-11
18,Huddersfield,46.1,1.2,1.1,2017-10-11
19,Crystal Palace,53.7,1.5,1.2,2017-10-11
