,team,spi,off,def,date
0,Man City,90.9,3.2,0.5,2017-11-05
1,Man United,83.9,2.4,0.5,2017-11-05
2,Tottenham,84.3,2.4,0.5,2017-11-05
3,Chelsea,81.6,2.5,0.7,2017-11-05
4,Liverpool,81.8,2.6,0.7,2017-11-05
5,Arsenal,78.1,2.4,0.8,2017-11-05
6,Burnley,59.8,1.5,0.9,2017-11-05
7,Leicester,63.1,1.8,1.0,2017-11-05
8,Watford,59.3,1.7,1.1,2017-11-05
9,Stoke City,59.2,1.7,1.1,2017-11-05
10,Everton,59.4,1.7,1.1,2017-11-05
11,Southamon,60.6,1.6,0.9,2017-11-05
12,Brighton,52.4,1.3,1.0,2017-11-05
13,Newcastle,54.3,1.4,1.0,2017-11-05
14,Bournemouth,55.9,1.5,1.1,2017-11-05
15,Huddersfield,47.2,1.2,1.1,2017-11-05
16,West Brom,54.7,1.4,1.0,2017-11-05
17,West Ham,55.0,1.6,1.2,2017-11-05
18,Crystal Palace,57.0,1.6,1.1,2017-11-05
19,Swansea City,53.5,1.4,1.0,2017-11-05
