,team,spi,off,def,date
0,Man City,90.2,2.9,0.4,2018-04-04
1,Man United,78.9,2.3,0.7,2018-04-04
2,Liverpool,89.3,3.0,0.5,2018-04-04
3,Tottenham,87.6,2.7,0.5,2018-04-04
4,Chelsea,80.2,2.4,0.7,2018-04-04
5,Arsenal,80.7,2.7,0.9,2018-04-04
6,Burnley,62.3,1.5,0.8,2018-04-04
7,Leicester,66.6,1.8,0.9,2018-04-04
8,Everton,59.8,1.7,1.1,2018-04-04
9,Watford,58.0,1.7,1.1,2018-04-04
10,Bournemouth,56.6,1.8,1.3,2018-04-04
11,Newcastle,57.9,1.5,1.0,2018-04-04
12,Crystal Palace,63.2,1.8,1.0,2018-04-04
13,Brighton,53.9,1.4,1.0,2018-04-04
14,West Ham,54.4,1.7,1.3,2018-04-04
15,Swansea City,52.3,1.3,1.1,2018-04-04
16,Huddersfield,46.8,1.2,1.1,2018-04-04
17,Southamon,55.9,1.5,1.1,2018-04-04
18,Stoke City,50.3,1.4,1.2,2018-04-04
19,West Brom,50.1,1.3,1.1,2018-04-04
