,team,spi,off,def,date
0,Man City,89.6,3.0,0.5,2017-09-27
1,Man United,86.6,2.6,0.5,2017-09-27
2,Chelsea,84.7,2.6,0.6,2017-09-27
3,Tottenham,82.0,2.4,0.6,2017-09-27
4,Liverpool,77.5,2.4,0.8,2017-09-27
5,Arsenal,78.2,2.4,0.8,2017-09-27
6,Everton,63.6,1.8,1.0,2017-09-27
7,Burnley,59.6,1.6,1.0,2017-09-27
8,Southamon,61.7,1.6,0.9,2017-09-27
9,Watford,56.4,1.6,1.1,2017-09-27
10,Leicester,62.2,1.8,1.1,2017-09-27
11,Stoke City,59.9,1.6,1.0,2017-09-27
12,Newcastle,55.7,1.5,1.0,2017-09-27
13,West Ham,58.5,1.7,1.1,2017-09-27
14,West Brom,54.9,1.4,1.0,2017-09-27
15,Swansea City,54.6,1.5,1.1,2017-09-27
16,Bournemouth,54.1,1.6,1.2,2017-09-27
17,Huddersfield,48.0,1.2,1.1,2017-09-27
18,Brighton,48.1,1.2,1.1,2017-09-27
19,Crystal Palace,54.3,1.5,1.1,2017-09-27
