,team,spi,off,def,date
0,Man City,84.8,2.7,0.6,2017-08-13
1,Man United,82.9,2.3,0.5,2017-08-13
2,Tottenham,81.0,2.4,0.6,2017-08-13
3,Chelsea,81.5,2.5,0.7,2017-08-13
4,Arsenal,78.1,2.6,0.9,2017-08-13
5,Liverpool,76.4,2.3,0.8,2017-08-13
6,Everton,67.1,1.9,0.9,2017-08-13
7,Burnley,61.6,1.7,1.0,2017-08-13
8,Southamon,64.1,1.7,0.9,2017-08-13
9,Leicester,62.1,1.8,1.1,2017-08-13
10,Stoke City,60.7,1.6,0.9,2017-08-13
11,West Ham,59.3,1.7,1.1,2017-08-13
12,West Brom,56.8,1.5,1.0,2017-08-13
13,Swansea City,56.9,1.6,1.1,2017-08-13
14,Bournemouth,57.7,1.7,1.1,2017-08-13
15,Watford,55.3,1.6,1.1,2017-08-13
16,Crystal Palace,56.8,1.6,1.1,2017-08-13
17,Newcastle,50.9,1.4,1.2,2017-08-13
18,Huddersfield,47.2,1.3,1.2,2017-08-13
19,Brighton,46.4,1.2,1.2,2017-08-13
