,team,spi,off,def,date
0,Man City,90.5,3.0,0.5,2018-04-18
1,Man United,78.9,2.3,0.7,2018-04-18
2,Liverpool,89.3,2.9,0.5,2018-04-18
3,Tottenham,85.5,2.6,0.6,2018-04-18
4,Chelsea,79.8,2.4,0.7,2018-04-18
5,Arsenal,79.8,2.7,0.9,2018-04-18
6,Burnley,62.6,1.6,0.8,2018-04-18
7,Leicester,66.0,1.8,0.9,2018-04-18
8,Everton,59.9,1.7,1.1,2018-04-18
9,Newcastle,59.6,1.6,1.0,2018-04-18
10,Bournemouth,56.3,1.8,1.3,2018-04-18
11,Watford,56.6,1.6,1.1,2018-04-18
12,Crystal Palace,62.6,1.8,1.1,2018-04-18
13,West Ham,54.3,1.7,1.3,2018-04-18
14,Brighton,53.9,1.4,1.1,2018-04-18
15,Swansea City,52.2,1.4,1.1,2018-04-18
16,Huddersfield,48.3,1.2,1.1,2018-04-18
17,Southamon,58.1,1.7,1.1,2018-04-18
18,Stoke City,51.9,1.4,1.2,2018-04-18
19,West Brom,52.2,1.4,1.1,2018-04-18
