,team,spi,off,def,date
0,Man City,91.2,3.2,0.5,2018-02-14
1,Liverpool,88.6,3.0,0.6,2018-02-14
2,Tottenham,86.5,2.7,0.5,2018-02-14
3,Man United,78.6,2.2,0.7,2018-02-14
4,Chelsea,81.0,2.4,0.7,2018-02-14
5,Arsenal,80.7,2.7,0.9,2018-02-14
6,Leicester,64.4,1.8,1.0,2018-02-14
7,Burnley,59.6,1.4,0.8,2018-02-14
8,Everton,57.6,1.7,1.2,2018-02-14
9,Bournemouth,57.5,1.7,1.2,2018-02-14
10,Watford,60.5,1.8,1.1,2018-02-14
11,West Ham,57.2,1.7,1.2,2018-02-14
12,Crystal Palace,62.0,1.7,1.0,2018-02-14
13,Swansea City,54.4,1.3,1.0,2018-02-14
14,Newcastle,54.3,1.5,1.1,2018-02-14
15,Southamon,59.3,1.7,1.1,2018-02-14
16,Brighton,52.3,1.3,1.0,2018-02-14
17,Huddersfield,47.5,1.2,1.1,2018-02-14
18,Stoke City,52.2,1.5,1.2,2018-02-14
19,West Brom,53.7,1.4,1.0,2018-02-14
