,team,spi,off,def,date
0,Man City,89.5,2.9,0.5,2018-04-10
1,Man United,79.9,2.4,0.7,2018-04-10
2,Tottenham,86.9,2.7,0.5,2018-04-10
3,Liverpool,89.2,2.9,0.5,2018-04-10
4,Chelsea,80.0,2.4,0.7,2018-04-10
5,Arsenal,80.5,2.8,0.9,2018-04-10
6,Burnley,62.8,1.6,0.8,2018-04-10
7,Leicester,65.7,1.8,0.9,2018-04-10
8,Everton,60.1,1.7,1.1,2018-04-10
9,Newcastle,58.8,1.6,1.0,2018-04-10
10,Bournemouth,57.2,1.8,1.3,2018-04-10
11,Watford,57.5,1.7,1.1,2018-04-10
12,West Ham,54.6,1.7,1.3,2018-04-10
13,Crystal Palace,62.7,1.8,1.0,2018-04-10
14,Brighton,53.2,1.4,1.1,2018-04-10
15,Swansea City,52.0,1.3,1.1,2018-04-10
16,Huddersfield,47.4,1.2,1.1,2018-04-10
17,Southamon,57.7,1.6,1.1,2018-04-10
18,Stoke City,51.6,1.4,1.2,2018-04-10
19,West Brom,50.4,1.3,1.1,2018-04-10
