,team,spi,off,def,date
0,Man City,89.2,3.0,0.5,2017-12-06
1,Man United,82.6,2.5,0.6,2017-12-06
2,Chelsea,84.3,2.6,0.6,2017-12-06
3,Liverpool,85.4,2.8,0.7,2017-12-06
4,Arsenal,82.5,2.7,0.7,2017-12-06
5,Tottenham,82.8,2.4,0.6,2017-12-06
6,Burnley,60.6,1.5,0.9,2017-12-06
7,Watford,62.8,1.8,1.1,2017-12-06
8,Leicester,62.2,1.7,1.0,2017-12-06
9,Southamon,63.5,1.7,0.9,2017-12-06
10,Everton,57.8,1.7,1.2,2017-12-06
11,Stoke City,58.3,1.7,1.1,2017-12-06
12,Bournemouth,56.1,1.5,1.1,2017-12-06
13,Brighton,51.9,1.3,1.0,2017-12-06
14,Newcastle,52.9,1.5,1.2,2017-12-06
15,Crystal Palace,57.8,1.5,1.0,2017-12-06
16,West Brom,53.4,1.4,1.0,2017-12-06
17,Huddersfield,44.4,1.2,1.2,2017-12-06
18,West Ham,53.6,1.6,1.2,2017-12-06
19,Swansea City,51.9,1.3,1.0,2017-12-06
