,team,spi,off,def,date
0,Man City,90.4,3.1,0.5,2017-12-13
1,Chelsea,83.9,2.6,0.6,2017-12-13
2,Man United,81.4,2.4,0.7,2017-12-13
3,Liverpool,84.4,2.7,0.7,2017-12-13
4,Arsenal,83.9,2.7,0.7,2017-12-13
5,Tottenham,83.3,2.4,0.6,2017-12-13
6,Burnley,60.3,1.4,0.8,2017-12-13
7,Leicester,64.9,1.8,1.0,2017-12-13
8,Watford,62.5,1.8,1.0,2017-12-13
9,Everton,60.2,1.7,1.1,2017-12-13
10,Southamon,61.1,1.7,1.0,2017-12-13
11,Stoke City,57.6,1.7,1.2,2017-12-13
12,Bournemouth,56.0,1.6,1.1,2017-12-13
13,Crystal Palace,58.9,1.6,1.0,2017-12-13
14,West Ham,53.8,1.5,1.1,2017-12-13
15,Brighton,49.8,1.3,1.1,2017-12-13
16,Huddersfield,46.6,1.2,1.1,2017-12-13
17,West Brom,53.5,1.3,1.0,2017-12-13
18,Newcastle,51.8,1.4,1.2,2017-12-13
19,Swansea City,51.0,1.3,1.0,2017-12-13
