,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2018-08-10,Home,W,2,1,Leicester City,1.5,1.8,47.0,Manchester Utd
1,2018-08-19,Away,L,2,3,Brighton,1.4,1.7,66.0,Manchester Utd
2,2018-08-27,Home,L,0,3,Tottenham,1.5,1.2,57.0,Manchester Utd
3,2018-09-02,Away,W,2,0,Burnley,2.5,0.8,53.0,Manchester Utd
4,2018-09-15,Away,W,2,1,Watford,1.9,1.3,57.0,Manchester Utd
6,2018-09-22,Home,D,1,1,Wolves,0.6,1.0,64.0,Manchester Utd
8,2018-09-29,Away,L,1,3,West Ham,0.7,1.4,52.0,Manchester Utd
10,2018-10-06,Home,W,3,2,Newcastle Utd,1.9,1.6,72.0,Manchester Utd
11,2018-10-20,Away,D,2,2,Chelsea,0.8,1.8,38.0,Manchester Utd
13,2018-10-28,Home,W,2,1,Everton,2.3,1.8,54.0,Manchester Utd
14,2018-11-03,Away,W,2,1,Bournemouth,3.0,1.6,51.0,Manchester Utd
16,2018-11-11,Away,L,1,3,Manchester City,1.1,1.9,35.0,Manchester Utd
17,2018-11-24,Home,D,0,0,Crystal Palace,0.9,1.2,59.0,Manchester Utd
19,2018-12-01,Away,D,2,2,Southampton,1.1,0.7,60.0,Manchester Utd
20,2018-12-05,Home,D,2,2,Arsenal,1.1,1.1,45.0,Manchester Utd
21,2018-12-08,Home,W,4,1,Fulham,2.3,1.2,62.0,Manchester Utd
23,2018-12-16,Away,L,1,3,Liverpool,0.7,2.5,36.0,Manchester Utd
24,2018-12-22,Away,W,5,1,Cardiff City,2.8,1.4,73.0,Manchester Utd
25,2018-12-26,Home,W,3,1,Huddersfield,1.5,1.1,64.0,Manchester Utd
26,2018-12-30,Home,W,4,1,Bournemouth,2.9,0.5,65.0,Manchester Utd
27,2019-01-02,Away,W,2,0,Newcastle Utd,2.6,0.7,64.0,Manchester Utd
29,2019-01-13,Away,W,1,0,Tottenham,0.8,1.8,39.0,Manchester Utd
30,2019-01-19,Home,W,2,1,Brighton,2.4,0.8,56.0,Manchester Utd
32,2019-01-29,Home,D,2,2,Burnley,3.1,0.8,73.0,Manchester Utd
33,2019-02-03,Away,W,1,0,Leicester City,1.3,1.5,55.0,Manchester Utd
34,2019-02-09,Away,W,3,0,Fulham,1.9,2.2,49.0,Manchester Utd
37,2019-02-24,Home,D,0,0,Liverpool,0.3,0.5,36.0,Manchester Utd
38,2019-02-27,Away,W,3,1,Crystal Palace,1.0,1.7,54.0,Manchester Utd
39,2019-03-02,Home,W,3,2,Southampton,2.2,0.4,64.0,Manchester Utd
41,2019-03-10,Away,L,0,2,Arsenal,2.3,1.7,54.0,Manchester Utd
43,2019-03-30,Home,W,2,1,Watford,1.6,1.5,52.0,Manchester Utd
44,2019-04-02,Away,L,1,2,Wolves,1.8,1.8,51.0,Manchester Utd
46,2019-04-13,Home,W,2,1,West Ham,2.5,1.4,43.0,Manchester Utd
48,2019-04-21,Away,L,0,4,Everton,0.3,1.6,52.0,Manchester Utd
49,2019-04-24,Home,L,0,2,Manchester City,0.5,0.5,37.0,Manchester Utd
50,2019-04-28,Home,D,1,1,Chelsea,1.1,1.7,52.0,Manchester Utd
51,2019-05-05,Away,D,1,1,Huddersfield,1.8,1.0,64.0,Manchester Utd
52,2019-05-12,Home,L,0,2,Cardiff City,1.5,1.6,73.0,Manchester Utd
