,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2018-08-11,Away,D,2,2,Wolves,1.0,1.0,42.0,Everton
1,2018-08-18,Home,W,2,1,Southampton,1.5,1.7,57.0,Everton
2,2018-08-25,Away,D,2,2,Bournemouth,0.6,2.2,50.0,Everton
4,2018-09-01,Home,D,1,1,Huddersfield,0.8,0.4,57.0,Everton
5,2018-09-16,Home,L,1,3,West Ham,1.4,1.2,56.0,Everton
6,2018-09-23,Away,L,0,2,Arsenal,0.8,0.8,38.0,Everton
7,2018-09-29,Home,W,3,0,Fulham,2.3,0.5,51.0,Everton
9,2018-10-06,Away,W,2,1,Leicester City,1.3,0.9,48.0,Everton
10,2018-10-21,Home,W,2,0,Crystal Palace,1.8,1.3,59.0,Everton
11,2018-10-28,Away,L,1,2,Manchester Utd,1.8,2.3,46.0,Everton
12,2018-11-03,Home,W,3,1,Brighton,2.0,0.5,61.0,Everton
13,2018-11-11,Away,D,0,0,Chelsea,0.3,1.2,32.0,Everton
14,2018-11-24,Home,W,1,0,Cardiff City,2.1,1.0,70.0,Everton
15,2018-12-02,Away,L,0,1,Liverpool,1.1,2.9,42.0,Everton
16,2018-12-05,Home,D,1,1,Newcastle Utd,1.8,1.5,75.0,Everton
17,2018-12-10,Home,D,2,2,Watford,1.7,1.7,56.0,Everton
18,2018-12-15,Away,L,1,3,Manchester City,1.5,1.7,33.0,Everton
19,2018-12-23,Home,L,2,6,Tottenham,0.9,2.0,42.0,Everton
20,2018-12-26,Away,W,5,1,Burnley,1.5,2.0,51.0,Everton
21,2018-12-29,Away,L,0,1,Brighton,0.7,1.1,54.0,Everton
22,2019-01-01,Home,L,0,1,Leicester City,1.0,0.6,59.0,Everton
24,2019-01-13,Home,W,2,0,Bournemouth,1.0,1.9,51.0,Everton
25,2019-01-19,Away,L,1,2,Southampton,0.9,0.7,61.0,Everton
27,2019-01-29,Away,W,1,0,Huddersfield,1.1,0.7,42.0,Everton
28,2019-02-02,Home,L,1,3,Wolves,1.2,1.4,64.0,Everton
29,2019-02-06,Home,L,0,2,Manchester City,0.1,2.2,39.0,Everton
30,2019-02-09,Away,L,0,1,Watford,0.7,1.3,56.0,Everton
31,2019-02-26,Away,W,3,0,Cardiff City,1.0,0.3,66.0,Everton
32,2019-03-03,Home,D,0,0,Liverpool,0.3,1.1,43.0,Everton
33,2019-03-09,Away,L,2,3,Newcastle Utd,1.1,2.4,55.0,Everton
34,2019-03-17,Home,W,2,0,Chelsea,2.3,1.4,33.0,Everton
35,2019-03-30,Away,W,2,0,West Ham,1.8,0.1,51.0,Everton
36,2019-04-07,Home,W,1,0,Arsenal,2.4,0.3,43.0,Everton
37,2019-04-13,Away,L,0,2,Fulham,1.1,1.5,59.0,Everton
38,2019-04-21,Home,W,4,0,Manchester Utd,1.6,0.3,48.0,Everton
39,2019-04-27,Away,D,0,0,Crystal Palace,1.5,0.3,63.0,Everton
40,2019-05-03,Home,W,2,0,Burnley,1.7,0.3,59.0,Everton
41,2019-05-12,Away,D,2,2,Tottenham,2.0,0.6,45.0,Everton
