,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2018-08-11,Home,W,2,0,Brighton,1.2,0.3,53.0,Watford
1,2018-08-19,Away,W,3,1,Burnley,1.5,0.6,42.0,Watford
2,2018-08-26,Home,W,2,1,Crystal Palace,1.2,1.0,43.0,Watford
4,2018-09-02,Home,W,2,1,Tottenham,0.4,0.6,34.0,Watford
5,2018-09-15,Home,L,1,2,Manchester Utd,1.3,1.9,43.0,Watford
6,2018-09-22,Away,D,1,1,Fulham,1.4,1.7,40.0,Watford
8,2018-09-29,Away,L,0,2,Arsenal,2.8,1.4,37.0,Watford
9,2018-10-06,Home,L,0,4,Bournemouth,1.0,3.2,48.0,Watford
10,2018-10-20,Away,W,2,0,Wolves,1.1,0.7,55.0,Watford
11,2018-10-27,Home,W,3,0,Huddersfield,2.0,0.5,48.0,Watford
12,2018-11-03,Away,L,0,1,Newcastle Utd,2.0,0.5,58.0,Watford
13,2018-11-10,Away,D,1,1,Southampton,1.2,1.1,58.0,Watford
14,2018-11-24,Home,L,0,3,Liverpool,0.4,1.2,37.0,Watford
15,2018-12-01,Away,L,0,2,Leicester City,1.2,1.3,62.0,Watford
16,2018-12-04,Home,L,1,2,Manchester City,1.8,2.5,30.0,Watford
17,2018-12-10,Away,D,2,2,Everton,1.7,1.7,44.0,Watford
18,2018-12-15,Home,W,3,2,Cardiff City,1.4,0.9,71.0,Watford
19,2018-12-22,Away,W,2,0,West Ham,2.3,2.0,48.0,Watford
20,2018-12-26,Home,L,1,2,Chelsea,1.2,1.9,35.0,Watford
21,2018-12-29,Home,D,1,1,Newcastle Utd,1.3,0.7,63.0,Watford
22,2019-01-02,Away,D,3,3,Bournemouth,0.9,2.2,43.0,Watford
24,2019-01-12,Away,W,2,1,Crystal Palace,1.6,1.3,45.0,Watford
25,2019-01-19,Home,D,0,0,Burnley,1.3,1.8,54.0,Watford
27,2019-01-30,Away,L,1,2,Tottenham,0.5,1.7,32.0,Watford
28,2019-02-02,Away,D,0,0,Brighton,0.3,1.6,45.0,Watford
29,2019-02-09,Home,W,1,0,Everton,1.3,0.7,44.0,Watford
31,2019-02-22,Away,W,5,1,Cardiff City,2.1,2.0,63.0,Watford
32,2019-02-27,Away,L,0,5,Liverpool,0.3,1.9,38.0,Watford
33,2019-03-03,Home,W,2,1,Leicester City,0.8,0.9,39.0,Watford
34,2019-03-09,Away,L,1,3,Manchester City,0.2,3.4,29.0,Watford
36,2019-03-30,Away,L,1,2,Manchester Utd,1.5,1.6,48.0,Watford
37,2019-04-02,Home,W,4,1,Fulham,1.2,1.6,47.0,Watford
39,2019-04-15,Home,L,0,1,Arsenal,1.0,2.3,35.0,Watford
40,2019-04-20,Away,W,2,1,Huddersfield,0.9,1.0,54.0,Watford
41,2019-04-23,Home,D,1,1,Southampton,1.3,2.0,62.0,Watford
42,2019-04-27,Home,L,1,2,Wolves,0.8,2.0,56.0,Watford
43,2019-05-05,Away,L,0,3,Chelsea,1.7,2.3,42.0,Watford
44,2019-05-12,Home,L,1,4,West Ham,2.2,3.1,49.0,Watford
