,team,spi,off,def,date
0,Man City,92.6,3.0,0.3,2023-04-19
1,Arsenal,83.8,2.6,0.6,2023-04-19
2,Man United,79.3,2.3,0.7,2023-04-19
3,Newcastle,80.5,2.2,0.6,2023-04-19
4,Brighton,82.5,2.4,0.6,2023-04-19
5,Liverpool,84.5,2.6,0.6,2023-04-19
6,Tottenham,74.3,2.2,0.8,2023-04-19
7,Aston Villa,76.6,2.0,0.6,2023-04-19
8,Brentford,73.5,2.1,0.8,2023-04-19
9,Fulham,66.0,1.8,0.9,2023-04-19
10,Chelsea,78.4,2.0,0.5,2023-04-19
11,Crystal Palace,72.7,1.8,0.6,2023-04-19
12,Wolves,64.9,1.6,0.8,2023-04-19
13,Bournemouth,59.8,1.7,1.1,2023-04-19
14,West Ham,71.1,1.8,0.7,2023-04-19
15,Leeds United,61.8,1.9,1.2,2023-04-19
16,Leicester,67.6,1.9,0.9,2023-04-19
17,Everton,59.6,1.7,1.1,2023-04-19
18,Nottm Forest,53.2,1.5,1.2,2023-04-19
19,Southamon,61.0,1.6,0.9,2023-04-19
