,team,spi,off,def,date
0,Man City,93.1,3.1,0.3,2022-10-12
1,Arsenal,83.9,2.4,0.5,2022-10-12
2,Liverpool,88.6,2.9,0.5,2022-10-12
3,Chelsea,84.0,2.3,0.5,2022-10-12
4,Tottenham,80.7,2.3,0.6,2022-10-12
5,Man United,76.4,2.2,0.8,2022-10-12
6,Brighton,77.2,2.1,0.6,2022-10-12
7,Newcastle,75.6,2.1,0.7,2022-10-12
8,West Ham,72.9,1.9,0.7,2022-10-12
9,Crystal Palace,69.5,1.8,0.8,2022-10-12
10,Aston Villa,72.6,1.8,0.7,2022-10-12
11,Brentford,68.1,1.9,0.9,2022-10-12
12,Leeds United,63.8,1.8,1.0,2022-10-12
13,Everton,64.3,1.7,0.9,2022-10-12
14,Leicester,66.7,2.0,1.0,2022-10-12
15,Southamon,62.7,1.8,1.0,2022-10-12
16,Wolves,66.4,1.7,0.8,2022-10-12
17,Fulham,58.0,1.7,1.1,2022-10-12
18,Bournemouth,55.8,1.5,1.1,2022-10-12
19,Nottm Forest,53.9,1.5,1.2,2022-10-12
