,team,spi,off,def,date
0,Arsenal,85.0,2.4,0.5,2023-02-22
1,Man City,90.7,2.8,0.4,2023-02-22
2,Man United,81.2,2.4,0.7,2023-02-22
3,Tottenham,77.9,2.2,0.7,2023-02-22
4,Newcastle,79.7,2.1,0.5,2023-02-22
5,Liverpool,82.5,2.6,0.7,2023-02-22
6,Brighton,80.4,2.3,0.6,2023-02-22
7,Fulham,68.9,1.8,0.8,2023-02-22
8,Brentford,73.7,2.1,0.8,2023-02-22
9,Chelsea,80.4,2.0,0.5,2023-02-22
10,Aston Villa,70.4,1.9,0.8,2023-02-22
11,Leicester,68.9,2.0,0.9,2023-02-22
12,Crystal Palace,66.3,1.7,0.8,2023-02-22
13,West Ham,72.8,1.8,0.7,2023-02-22
14,Wolves,64.6,1.6,0.8,2023-02-22
15,Nottm Forest,58.1,1.5,1.0,2023-02-22
16,Leeds United,66.6,1.9,0.9,2023-02-22
17,Everton,61.7,1.6,0.9,2023-02-22
18,Bournemouth,56.5,1.6,1.1,2023-02-22
19,Southamon,61.3,1.7,1.0,2023-02-22
