,team,spi,off,def,date
0,Man City,92.2,3.0,0.4,2022-08-31
1,Liverpool,90.0,2.8,0.4,2022-08-31
2,Arsenal,81.4,2.3,0.6,2022-08-31
3,Tottenham,81.6,2.3,0.6,2022-08-31
4,Chelsea,81.9,2.3,0.6,2022-08-31
5,Brighton,75.4,1.9,0.6,2022-08-31
6,Man United,74.1,2.1,0.8,2022-08-31
7,Newcastle,72.2,1.9,0.8,2022-08-31
8,Crystal Palace,71.2,1.9,0.7,2022-08-31
9,Brentford,69.9,2.0,0.9,2022-08-31
10,West Ham,70.4,1.8,0.8,2022-08-31
11,Leeds United,65.2,1.8,1.0,2022-08-31
12,Leicester,69.5,2.0,0.9,2022-08-31
13,Aston Villa,70.2,1.9,0.8,2022-08-31
14,Southamon,63.5,1.8,1.0,2022-08-31
15,Fulham,62.1,1.7,1.0,2022-08-31
16,Wolves,68.0,1.7,0.8,2022-08-31
17,Everton,63.3,1.7,1.0,2022-08-31
18,Nottm Forest,56.0,1.5,1.1,2022-08-31
19,Bournemouth,54.0,1.5,1.1,2022-08-31
