,team,spi,off,def,date
0,Man City,91.1,2.8,0.4,2023-01-04
1,Arsenal,86.1,2.4,0.4,2023-01-04
2,Man United,81.2,2.3,0.6,2023-01-04
3,Newcastle,81.7,2.1,0.5,2023-01-04
4,Liverpool,85.6,2.7,0.6,2023-01-04
5,Tottenham,78.6,2.3,0.7,2023-01-04
6,Brighton,78.0,2.2,0.7,2023-01-04
7,Chelsea,80.3,2.1,0.5,2023-01-04
8,Brentford,70.5,2.1,0.9,2023-01-04
9,Fulham,66.7,1.9,1.0,2023-01-04
10,Aston Villa,73.4,1.9,0.7,2023-01-04
11,Crystal Palace,66.1,1.7,0.8,2023-01-04
12,Leicester,69.0,1.9,0.9,2023-01-04
13,Leeds United,64.9,1.9,1.1,2023-01-04
14,West Ham,71.8,1.8,0.7,2023-01-04
15,Nottm Forest,57.4,1.5,1.0,2023-01-04
16,Wolves,63.2,1.6,0.9,2023-01-04
17,Everton,59.7,1.6,1.0,2023-01-04
18,Bournemouth,55.2,1.6,1.2,2023-01-04
19,Southamon,61.9,1.7,1.0,2023-01-04
