,team,spi,off,def,date
0,Man City,92.5,3.0,0.3,2023-04-28
1,Arsenal,82.5,2.6,0.7,2023-04-28
2,Newcastle,82.7,2.3,0.5,2023-04-28
3,Man United,77.7,2.3,0.8,2023-04-28
4,Liverpool,84.0,2.7,0.7,2023-04-28
5,Brighton,81.0,2.4,0.7,2023-04-28
6,Tottenham,71.7,2.2,1.0,2023-04-28
7,Aston Villa,76.9,2.0,0.6,2023-04-28
8,Brentford,73.9,2.1,0.8,2023-04-28
9,Fulham,66.0,1.8,0.9,2023-04-28
10,Chelsea,78.3,2.0,0.5,2023-04-28
11,Crystal Palace,72.2,1.7,0.6,2023-04-28
12,Wolves,65.2,1.6,0.8,2023-04-28
13,West Ham,72.8,1.9,0.7,2023-04-28
14,Bournemouth,59.6,1.7,1.1,2023-04-28
15,Leicester,68.2,1.9,0.9,2023-04-28
16,Leeds United,61.6,1.8,1.1,2023-04-28
17,Nottm Forest,55.6,1.6,1.2,2023-04-28
18,Everton,59.3,1.7,1.1,2023-04-28
19,Southamon,60.8,1.6,1.0,2023-04-28
