,team,spi,off,def,date
0,Arsenal,85.9,2.5,0.5,2023-03-16
1,Man City,92.3,2.9,0.3,2023-03-16
2,Man United,79.4,2.3,0.7,2023-03-16
3,Tottenham,77.3,2.2,0.7,2023-03-16
4,Newcastle,79.4,2.1,0.5,2023-03-16
5,Liverpool,84.4,2.6,0.6,2023-03-16
6,Brighton,80.8,2.3,0.6,2023-03-16
7,Brentford,74.7,2.1,0.8,2023-03-16
8,Chelsea,80.4,2.0,0.5,2023-03-16
9,Fulham,67.2,1.8,0.9,2023-03-16
10,Aston Villa,71.6,1.9,0.8,2023-03-16
11,Crystal Palace,67.8,1.6,0.7,2023-03-16
12,Leicester,69.1,1.9,0.9,2023-03-16
13,Wolves,64.9,1.6,0.8,2023-03-16
14,West Ham,71.3,1.8,0.7,2023-03-16
15,Leeds United,67.5,1.8,0.9,2023-03-16
16,Bournemouth,57.8,1.6,1.1,2023-03-16
17,Nottm Forest,55.5,1.5,1.1,2023-03-16
18,Everton,61.0,1.7,1.0,2023-03-16
19,Southamon,61.6,1.6,0.9,2023-03-16
