,team,spi,off,def,date
0,Arsenal,85.7,2.6,0.5,2023-04-05
1,Man City,93.0,3.0,0.3,2023-04-05
2,Man United,78.1,2.3,0.7,2023-04-05
3,Newcastle,81.7,2.1,0.5,2023-04-05
4,Brighton,81.2,2.3,0.6,2023-04-05
5,Tottenham,75.3,2.2,0.8,2023-04-05
6,Liverpool,82.5,2.5,0.6,2023-04-05
7,Aston Villa,73.9,2.0,0.7,2023-04-05
8,Brentford,73.5,2.1,0.8,2023-04-05
9,Chelsea,80.5,2.0,0.5,2023-04-05
10,Fulham,65.4,1.8,1.0,2023-04-05
11,Crystal Palace,69.5,1.7,0.7,2023-04-05
12,West Ham,72.3,1.8,0.7,2023-04-05
13,Leeds United,66.5,1.9,1.0,2023-04-05
14,Wolves,64.3,1.7,0.9,2023-04-05
15,Leicester,67.2,1.9,0.9,2023-04-05
16,Everton,62.1,1.7,1.0,2023-04-05
17,Bournemouth,57.7,1.6,1.1,2023-04-05
18,Nottm Forest,54.6,1.5,1.1,2023-04-05
19,Southamon,62.3,1.6,0.9,2023-04-05
