,team,spi,off,def,date
0,Arsenal,85.7,2.4,0.5,2023-03-01
1,Man City,90.5,2.8,0.4,2023-03-01
2,Man United,81.3,2.4,0.6,2023-03-01
3,Tottenham,78.4,2.2,0.7,2023-03-01
4,Newcastle,79.7,2.1,0.5,2023-03-01
5,Liverpool,82.9,2.5,0.7,2023-03-01
6,Brighton,80.4,2.3,0.6,2023-03-01
7,Brentford,73.7,2.1,0.8,2023-03-01
8,Fulham,68.4,1.8,0.8,2023-03-01
9,Chelsea,80.1,2.0,0.5,2023-03-01
10,Aston Villa,70.6,1.9,0.8,2023-03-01
11,Crystal Palace,66.8,1.6,0.8,2023-03-01
12,Leicester,68.7,1.9,0.9,2023-03-01
13,West Ham,74.2,1.9,0.6,2023-03-01
14,Leeds United,67.3,1.8,0.9,2023-03-01
15,Wolves,64.8,1.6,0.8,2023-03-01
16,Nottm Forest,56.2,1.5,1.1,2023-03-01
17,Everton,60.8,1.6,1.0,2023-03-01
18,Bournemouth,56.8,1.6,1.1,2023-03-01
19,Southamon,61.2,1.6,1.0,2023-03-01
