,team,spi,off,def,date
0,Arsenal,85.5,2.5,0.5,2023-03-22
1,Man City,92.3,2.9,0.3,2023-03-22
2,Man United,79.6,2.3,0.7,2023-03-22
3,Newcastle,80.3,2.1,0.5,2023-03-22
4,Liverpool,84.4,2.6,0.6,2023-03-22
5,Tottenham,75.8,2.2,0.8,2023-03-22
6,Brighton,80.8,2.3,0.6,2023-03-22
7,Brentford,74.2,2.1,0.8,2023-03-22
8,Chelsea,79.7,2.0,0.5,2023-03-22
9,Aston Villa,72.8,2.0,0.8,2023-03-22
10,Fulham,67.2,1.8,0.9,2023-03-22
11,Crystal Palace,67.8,1.6,0.7,2023-03-22
12,Leicester,69.9,1.9,0.9,2023-03-22
13,West Ham,71.7,1.9,0.7,2023-03-22
14,Leeds United,66.6,1.9,1.0,2023-03-22
15,Wolves,64.8,1.7,0.9,2023-03-22
16,Everton,61.4,1.7,1.0,2023-03-22
17,Bournemouth,56.4,1.6,1.2,2023-03-22
18,Nottm Forest,54.4,1.5,1.2,2023-03-22
19,Southamon,62.4,1.6,0.9,2023-03-22
