,team,spi,off,def,date
0,Arsenal,85.7,2.6,0.5,2023-04-03
1,Man City,93.0,3.0,0.3,2023-04-03
2,Man United,78.1,2.3,0.7,2023-04-03
3,Newcastle,81.7,2.1,0.5,2023-04-03
4,Tottenham,75.8,2.2,0.8,2023-04-03
5,Liverpool,83.2,2.5,0.7,2023-04-03
6,Brighton,80.9,2.3,0.7,2023-04-03
7,Brentford,73.5,2.1,0.8,2023-04-03
8,Aston Villa,72.9,2.0,0.8,2023-04-03
9,Chelsea,79.6,2.0,0.5,2023-04-03
10,Fulham,65.4,1.8,1.0,2023-04-03
11,Crystal Palace,69.5,1.7,0.7,2023-04-03
12,West Ham,72.3,1.8,0.7,2023-04-03
13,Leeds United,66.2,1.9,1.0,2023-04-03
14,Leicester,68.0,1.9,0.9,2023-04-03
15,Wolves,64.3,1.7,0.9,2023-04-03
16,Bournemouth,57.9,1.7,1.1,2023-04-03
17,Everton,61.4,1.7,1.0,2023-04-03
18,Nottm Forest,55.1,1.5,1.1,2023-04-03
19,Southamon,62.3,1.6,0.9,2023-04-03
