,team,spi,off,def,date
0,Man City,92.0,3.0,0.3,2022-08-22
1,Liverpool,88.8,2.7,0.4,2022-08-22
2,Tottenham,81.9,2.4,0.6,2022-08-22
3,Arsenal,80.8,2.3,0.6,2022-08-22
4,Chelsea,84.0,2.3,0.5,2022-08-22
5,Brighton,75.7,1.9,0.6,2022-08-22
6,Man United,74.0,2.1,0.8,2022-08-22
7,Crystal Palace,72.5,1.9,0.7,2022-08-22
8,Newcastle,71.1,1.9,0.8,2022-08-22
9,Aston Villa,71.6,2.0,0.8,2022-08-22
10,Brentford,68.8,1.9,0.9,2022-08-22
11,Leeds United,64.8,1.9,1.0,2022-08-22
12,Leicester,68.0,1.9,0.9,2022-08-22
13,West Ham,68.6,1.8,0.8,2022-08-22
14,Wolves,68.1,1.7,0.8,2022-08-22
15,Southamon,62.3,1.8,1.1,2022-08-22
16,Fulham,61.6,1.7,1.0,2022-08-22
17,Everton,63.3,1.7,1.0,2022-08-22
18,Bournemouth,57.5,1.5,1.0,2022-08-22
19,Nottm Forest,56.5,1.5,1.1,2022-08-22
