,team,spi,off,def,date
0,Man City,93.1,3.0,0.3,2023-04-10
1,Arsenal,84.4,2.5,0.6,2023-04-10
2,Newcastle,82.2,2.2,0.5,2023-04-10
3,Man United,79.2,2.3,0.7,2023-04-10
4,Tottenham,75.1,2.1,0.8,2023-04-10
5,Brighton,81.3,2.3,0.6,2023-04-10
6,Liverpool,83.8,2.6,0.6,2023-04-10
7,Aston Villa,74.7,2.0,0.7,2023-04-10
8,Brentford,73.9,2.1,0.8,2023-04-10
9,Chelsea,80.8,2.0,0.5,2023-04-10
10,Fulham,65.2,1.8,0.9,2023-04-10
11,Crystal Palace,71.8,1.8,0.7,2023-04-10
12,West Ham,71.0,1.8,0.7,2023-04-10
13,Wolves,64.1,1.6,0.9,2023-04-10
14,Bournemouth,59.4,1.7,1.1,2023-04-10
15,Leeds United,63.0,1.9,1.1,2023-04-10
16,Everton,60.9,1.7,1.0,2023-04-10
17,Leicester,65.8,1.8,0.9,2023-04-10
18,Nottm Forest,54.2,1.5,1.1,2023-04-10
19,Southamon,61.8,1.6,0.9,2023-04-10
