,team,spi,off,def,date
0,Man City,94.4,3.0,0.2,2021-12-20
1,Liverpool,92.0,3.1,0.4,2021-12-20
2,Chelsea,89.0,2.5,0.3,2021-12-20
3,Arsenal,80.6,2.2,0.6,2021-12-20
4,Man United,78.2,2.2,0.7,2021-12-20
5,West Ham,76.1,2.0,0.7,2021-12-20
6,Tottenham,72.1,2.0,0.8,2021-12-20
7,Leicester,72.2,2.1,0.9,2021-12-20
8,Aston Villa,73.4,2.0,0.7,2021-12-20
9,Brighton,76.1,1.9,0.5,2021-12-20
10,Wolves,72.4,1.7,0.6,2021-12-20
11,Crystal Palace,71.7,1.9,0.7,2021-12-20
12,Brentford,67.7,1.9,0.9,2021-12-20
13,Everton,68.8,1.9,0.9,2021-12-20
14,Southamon,67.9,1.8,0.8,2021-12-20
15,Leeds United,66.6,1.9,1.0,2021-12-20
16,Burnley,65.3,1.8,0.9,2021-12-20
17,Watford,62.4,1.8,1.0,2021-12-20
18,Newcastle,58.7,1.7,1.1,2021-12-20
19,Norwich,57.0,1.5,1.0,2021-12-20
