,team,spi,off,def,date
0,Man City,93.6,2.9,0.2,2021-09-29
1,Liverpool,89.7,2.9,0.5,2021-09-29
2,Chelsea,88.9,2.4,0.3,2021-09-29
3,Man United,83.7,2.4,0.5,2021-09-29
4,West Ham,75.6,2.1,0.8,2021-09-29
5,Arsenal,76.8,2.0,0.6,2021-09-29
6,Everton,73.9,2.0,0.7,2021-09-29
7,Tottenham,74.2,2.1,0.8,2021-09-29
8,Aston Villa,74.5,2.0,0.7,2021-09-29
9,Brighton,73.7,1.9,0.6,2021-09-29
10,Leicester,74.0,2.1,0.8,2021-09-29
11,Brentford,68.8,1.8,0.8,2021-09-29
12,Wolves,72.9,1.8,0.6,2021-09-29
13,Leeds United,69.1,1.9,0.9,2021-09-29
14,Crystal Palace,66.2,1.7,0.9,2021-09-29
15,Southamon,67.7,1.8,0.8,2021-09-29
16,Newcastle,62.8,1.8,1.1,2021-09-29
17,Burnley,63.5,1.8,1.0,2021-09-29
18,Watford,59.7,1.6,1.0,2021-09-29
19,Norwich,57.4,1.6,1.1,2021-09-29
