,team,spi,off,def,date
0,Man City,93.4,3.0,0.3,2022-05-17
1,Liverpool,93.3,2.9,0.2,2022-05-17
2,Chelsea,87.7,2.5,0.4,2022-05-17
3,Tottenham,83.3,2.4,0.6,2022-05-17
4,Arsenal,78.9,2.1,0.6,2022-05-17
5,Man United,74.6,2.1,0.8,2022-05-17
6,West Ham,74.6,2.0,0.7,2022-05-17
7,Wolves,69.6,1.7,0.7,2022-05-17
8,Leicester,70.6,2.0,0.9,2022-05-17
9,Brighton,78.7,2.0,0.6,2022-05-17
10,Crystal Palace,77.1,1.9,0.5,2022-05-17
11,Brentford,73.0,2.0,0.8,2022-05-17
12,Newcastle,71.6,1.8,0.7,2022-05-17
13,Aston Villa,77.2,2.0,0.6,2022-05-17
14,Southamon,63.6,1.8,1.0,2022-05-17
15,Everton,65.3,1.7,0.9,2022-05-17
16,Burnley,63.6,1.7,0.9,2022-05-17
17,Leeds United,62.2,1.8,1.1,2022-05-17
18,Watford,55.4,1.6,1.2,2022-05-17
19,Norwich,48.6,1.5,1.4,2022-05-17
