,team,spi,off,def,date
0,Man City,93.6,3.0,0.2,2021-11-07
1,Liverpool,91.0,3.1,0.5,2021-11-07
2,Chelsea,89.5,2.5,0.3,2021-11-07
3,West Ham,78.5,2.2,0.7,2021-11-07
4,Man United,80.9,2.3,0.6,2021-11-07
5,Arsenal,77.7,2.0,0.6,2021-11-07
6,Brighton,76.1,1.9,0.6,2021-11-07
7,Tottenham,73.2,2.0,0.8,2021-11-07
8,Leicester,73.7,2.1,0.8,2021-11-07
9,Crystal Palace,71.3,1.9,0.7,2021-11-07
10,Wolves,71.3,1.8,0.7,2021-11-07
11,Everton,70.3,1.9,0.8,2021-11-07
12,Southamon,69.7,1.8,0.8,2021-11-07
13,Brentford,69.4,1.9,0.8,2021-11-07
14,Leeds United,71.0,1.9,0.8,2021-11-07
15,Aston Villa,70.0,2.0,0.9,2021-11-07
16,Burnley,65.8,1.8,1.0,2021-11-07
17,Watford,59.6,1.6,1.0,2021-11-07
18,Newcastle,61.0,1.7,1.1,2021-11-07
19,Norwich,55.2,1.5,1.1,2021-11-07
