,team,spi,off,def,date
0,Man City,93.7,2.9,0.2,2022-04-27
1,Liverpool,93.9,3.0,0.2,2022-04-27
2,Chelsea,88.0,2.5,0.4,2022-04-27
3,Arsenal,82.1,2.2,0.5,2022-04-27
4,Tottenham,80.4,2.3,0.7,2022-04-27
5,Man United,76.5,2.1,0.7,2022-04-27
6,West Ham,72.1,2.0,0.8,2022-04-27
7,Wolves,71.4,1.7,0.6,2022-04-27
8,Leicester,69.1,1.9,0.9,2022-04-27
9,Brighton,75.4,1.9,0.6,2022-04-27
10,Brentford,72.8,2.0,0.8,2022-04-27
11,Newcastle,70.3,1.8,0.7,2022-04-27
12,Crystal Palace,74.7,1.9,0.6,2022-04-27
13,Aston Villa,76.5,2.0,0.6,2022-04-27
14,Southamon,65.5,1.9,1.0,2022-04-27
15,Leeds United,63.6,1.9,1.1,2022-04-27
16,Burnley,63.6,1.7,0.9,2022-04-27
17,Everton,63.6,1.7,0.9,2022-04-27
18,Watford,58.8,1.7,1.1,2022-04-27
19,Norwich,52.7,1.5,1.2,2022-04-27
