,team,spi,off,def,date
0,Man City,93.5,2.9,0.2,2022-05-04
1,Liverpool,93.9,2.9,0.2,2022-05-04
2,Chelsea,88.2,2.5,0.4,2022-05-04
3,Arsenal,82.3,2.2,0.5,2022-05-04
4,Tottenham,80.7,2.3,0.6,2022-05-04
5,Man United,77.0,2.1,0.7,2022-05-04
6,West Ham,72.0,1.9,0.8,2022-05-04
7,Wolves,68.8,1.7,0.7,2022-05-04
8,Leicester,69.6,1.9,0.9,2022-05-04
9,Brighton,77.5,1.9,0.5,2022-05-04
10,Crystal Palace,75.2,1.9,0.6,2022-05-04
11,Aston Villa,77.1,2.0,0.6,2022-05-04
12,Newcastle,70.3,1.8,0.7,2022-05-04
13,Brentford,71.8,1.9,0.8,2022-05-04
14,Southamon,65.0,1.9,1.0,2022-05-04
15,Burnley,64.3,1.7,0.9,2022-05-04
16,Everton,64.3,1.7,0.9,2022-05-04
17,Leeds United,63.4,1.9,1.1,2022-05-04
18,Watford,57.9,1.6,1.1,2022-05-04
19,Norwich,52.3,1.5,1.2,2022-05-04
