,team,spi,off,def,date
0,Man City,93.7,3.0,0.2,2022-05-11
1,Liverpool,93.3,2.9,0.2,2022-05-11
2,Chelsea,87.7,2.5,0.4,2022-05-11
3,Arsenal,82.5,2.2,0.5,2022-05-11
4,Tottenham,81.4,2.3,0.6,2022-05-11
5,Man United,74.6,2.1,0.8,2022-05-11
6,West Ham,74.2,2.0,0.7,2022-05-11
7,Wolves,69.7,1.8,0.7,2022-05-11
8,Brighton,79.3,2.0,0.5,2022-05-11
9,Leicester,70.3,1.9,0.8,2022-05-11
10,Crystal Palace,76.4,1.9,0.6,2022-05-11
11,Aston Villa,77.9,2.0,0.6,2022-05-11
12,Brentford,73.2,2.0,0.7,2022-05-11
13,Newcastle,69.5,1.8,0.8,2022-05-11
14,Southamon,63.2,1.8,1.1,2022-05-11
15,Everton,65.6,1.7,0.8,2022-05-11
16,Burnley,63.5,1.7,0.9,2022-05-11
17,Leeds United,61.8,1.8,1.1,2022-05-11
18,Watford,56.6,1.6,1.1,2022-05-11
19,Norwich,48.3,1.5,1.4,2022-05-11
