,team,spi,off,def,date
0,Man City,93.9,2.9,0.2,2021-10-20
1,Liverpool,90.6,3.0,0.5,2021-10-20
2,Chelsea,87.8,2.4,0.3,2021-10-20
3,Man United,82.2,2.4,0.6,2021-10-20
4,Tottenham,75.1,2.2,0.8,2021-10-20
5,West Ham,75.9,2.1,0.7,2021-10-20
6,Arsenal,76.2,2.0,0.6,2021-10-20
7,Leicester,74.6,2.2,0.8,2021-10-20
8,Brighton,74.6,1.8,0.6,2021-10-20
9,Everton,73.6,1.9,0.7,2021-10-20
10,Wolves,73.8,1.8,0.6,2021-10-20
11,Brentford,71.1,1.8,0.7,2021-10-20
12,Aston Villa,73.0,2.0,0.8,2021-10-20
13,Southamon,68.8,1.8,0.8,2021-10-20
14,Crystal Palace,67.0,1.8,0.9,2021-10-20
15,Leeds United,69.1,1.9,0.9,2021-10-20
16,Burnley,64.3,1.8,1.0,2021-10-20
17,Newcastle,62.3,1.8,1.1,2021-10-20
18,Watford,58.0,1.5,1.0,2021-10-20
19,Norwich,57.9,1.5,1.0,2021-10-20
