,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
1,2017-08-12,Home,L,2,3,Burnley,1.5,0.6,62.0,Chelsea
2,2017-08-20,Away,W,2,1,Tottenham,0.7,0.7,32.0,Chelsea
3,2017-08-27,Home,W,2,0,Everton,1.0,0.4,57.0,Chelsea
4,2017-09-09,Away,W,2,1,Leicester City,0.8,1.4,59.0,Chelsea
6,2017-09-17,Home,D,0,0,Arsenal,0.8,1.4,51.0,Chelsea
8,2017-09-23,Away,W,4,0,Stoke City,1.4,0.8,55.0,Chelsea
10,2017-09-30,Home,L,0,1,Manchester City,0.5,0.9,39.0,Chelsea
11,2017-10-14,Away,L,1,2,Crystal Palace,0.8,1.7,57.0,Chelsea
13,2017-10-21,Home,W,4,2,Watford,1.9,1.9,52.0,Chelsea
15,2017-10-28,Away,W,1,0,Bournemouth,1.6,0.5,58.0,Chelsea
17,2017-11-05,Home,W,1,0,Manchester Utd,1.6,0.7,54.0,Chelsea
18,2017-11-18,Away,W,4,0,West Brom,1.6,0.8,61.0,Chelsea
20,2017-11-25,Away,D,1,1,Liverpool,0.8,1.2,47.0,Chelsea
21,2017-11-29,Home,W,1,0,Swansea City,1.5,0.1,61.0,Chelsea
22,2017-12-02,Home,W,3,1,Newcastle Utd,3.2,0.6,65.0,Chelsea
24,2017-12-09,Away,L,0,1,West Ham,1.2,0.3,69.0,Chelsea
25,2017-12-12,Away,W,3,1,Huddersfield,1.5,0.7,64.0,Chelsea
26,2017-12-16,Home,W,1,0,Southampton,1.4,0.5,54.0,Chelsea
28,2017-12-23,Away,D,0,0,Everton,1.8,0.3,68.0,Chelsea
29,2017-12-26,Home,W,2,0,Brighton,2.1,0.5,67.0,Chelsea
30,2017-12-30,Home,W,5,0,Stoke City,2.6,0.2,59.0,Chelsea
31,2018-01-03,Away,D,2,2,Arsenal,3.0,1.2,42.0,Chelsea
34,2018-01-13,Home,D,0,0,Leicester City,0.6,1.2,56.0,Chelsea
36,2018-01-20,Away,W,4,0,Brighton,1.3,0.8,58.0,Chelsea
39,2018-01-31,Home,L,0,3,Bournemouth,1.2,1.1,65.0,Chelsea
40,2018-02-05,Away,L,1,4,Watford,0.7,2.3,55.0,Chelsea
41,2018-02-12,Home,W,3,0,West Brom,1.9,0.7,57.0,Chelsea
44,2018-02-25,Away,L,1,2,Manchester Utd,1.7,1.2,56.0,Chelsea
45,2018-03-04,Away,L,0,1,Manchester City,0.1,0.9,29.0,Chelsea
46,2018-03-10,Home,W,2,1,Crystal Palace,3.1,1.1,62.0,Chelsea
49,2018-04-01,Home,L,1,3,Tottenham,1.0,1.4,49.0,Chelsea
50,2018-04-08,Home,D,1,1,West Ham,1.7,0.3,59.0,Chelsea
51,2018-04-14,Away,W,3,2,Southampton,0.8,1.0,58.0,Chelsea
52,2018-04-19,Away,W,2,1,Burnley,1.7,0.2,60.0,Chelsea
54,2018-04-28,Away,W,1,0,Swansea City,1.5,0.7,49.0,Chelsea
55,2018-05-06,Home,W,1,0,Liverpool,0.6,0.5,32.0,Chelsea
56,2018-05-09,Home,D,1,1,Huddersfield,1.9,0.7,78.0,Chelsea
57,2018-05-13,Away,L,0,3,Newcastle Utd,1.0,2.2,58.0,Chelsea
