,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2017-08-12,Away,W,2,0,Brighton,1.9,0.3,77.0,Manchester City
1,2017-08-21,Home,D,1,1,Everton,1.1,0.6,64.0,Manchester City
2,2017-08-26,Away,W,2,1,Bournemouth,1.4,0.5,70.0,Manchester City
3,2017-09-09,Home,W,5,0,Liverpool,2.4,0.7,66.0,Manchester City
5,2017-09-16,Away,W,6,0,Watford,3.3,0.5,67.0,Manchester City
7,2017-09-23,Home,W,5,0,Crystal Palace,4.5,0.6,71.0,Manchester City
9,2017-09-30,Away,W,1,0,Chelsea,0.9,0.5,61.0,Manchester City
10,2017-10-14,Home,W,7,2,Stoke City,3.8,0.5,79.0,Manchester City
12,2017-10-21,Home,W,3,0,Burnley,3.1,0.2,77.0,Manchester City
14,2017-10-28,Away,W,3,2,West Brom,2.3,1.5,77.0,Manchester City
16,2017-11-05,Home,W,3,1,Arsenal,1.8,0.3,57.0,Manchester City
17,2017-11-18,Away,W,2,0,Leicester City,1.9,0.2,73.0,Manchester City
19,2017-11-26,Away,W,2,1,Huddersfield,2.6,0.6,78.0,Manchester City
20,2017-11-29,Home,W,2,1,Southampton,1.4,1.3,74.0,Manchester City
21,2017-12-03,Home,W,2,1,West Ham,2.3,0.6,76.0,Manchester City
23,2017-12-10,Away,W,2,1,Manchester Utd,1.7,1.4,64.0,Manchester City
24,2017-12-13,Away,W,4,0,Swansea City,2.7,0.6,78.0,Manchester City
25,2017-12-16,Home,W,4,1,Tottenham,3.4,0.2,52.0,Manchester City
27,2017-12-23,Home,W,4,0,Bournemouth,1.5,0.4,78.0,Manchester City
28,2017-12-27,Away,W,1,0,Newcastle Utd,1.8,0.2,77.0,Manchester City
29,2017-12-31,Away,D,0,0,Crystal Palace,1.3,1.3,74.0,Manchester City
30,2018-01-02,Home,W,3,1,Watford,2.1,1.0,76.0,Manchester City
33,2018-01-14,Away,L,3,4,Liverpool,0.8,0.8,64.0,Manchester City
34,2018-01-20,Home,W,3,1,Newcastle Utd,2.1,1.0,80.0,Manchester City
37,2018-01-31,Home,W,3,0,West Brom,2.3,0.2,73.0,Manchester City
38,2018-02-03,Away,D,1,1,Burnley,1.8,0.9,70.0,Manchester City
39,2018-02-10,Home,W,5,1,Leicester City,2.5,0.1,70.0,Manchester City
43,2018-03-01,Away,W,3,0,Arsenal,1.5,1.3,54.0,Manchester City
44,2018-03-04,Home,W,1,0,Chelsea,0.9,0.1,71.0,Manchester City
46,2018-03-12,Away,W,2,0,Stoke City,1.6,0.4,76.0,Manchester City
47,2018-03-31,Away,W,3,1,Everton,1.5,0.9,81.0,Manchester City
49,2018-04-07,Home,L,2,3,Manchester Utd,2.6,1.1,64.0,Manchester City
51,2018-04-14,Away,W,3,1,Tottenham,2.9,0.4,52.0,Manchester City
52,2018-04-22,Home,W,5,0,Swansea City,3.2,0.3,82.0,Manchester City
53,2018-04-29,Away,W,4,1,West Ham,2.4,0.2,74.0,Manchester City
54,2018-05-06,Home,D,0,0,Huddersfield,0.8,0.2,78.0,Manchester City
55,2018-05-09,Home,W,3,1,Brighton,1.6,1.2,73.0,Manchester City
56,2018-05-13,Away,W,1,0,Southampton,0.8,0.5,69.0,Manchester City
