,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Chelsea,12,9,2,1,30,4,26,29,2.6,2021-11-20,CHE,2021
2,2,Manchester City,12,8,2,2,25,6,19,26,2.4,2021-11-21,MCI,2021
4,3,Liverpool,12,7,4,1,35,11,24,25,2.0,2021-11-20,LIV,2021
6,4,West Ham United,12,7,2,3,23,14,9,23,2.4,2021-11-20,WHU,2021
8,5,Arsenal,12,6,2,4,13,17,-4,20,2.0,2021-11-20,ARS,2021
10,6,Wolverhampton Wanderers,12,6,1,5,12,12,0,19,2.0,2021-11-20,WOL,2021
12,7,Tottenham Hotspur,12,6,1,5,11,17,-6,19,1.4,2021-11-21,TOT,2021
14,8,Manchester United,12,5,2,5,20,21,-1,17,0.6,2021-11-20,MUN,2021
16,9,Brighton and Hove Albion,12,4,5,3,12,14,-2,17,0.6,2021-11-20,BHA,2021
18,10,Crystal Palace,12,3,7,2,18,17,1,16,1.8,2021-11-20,CRY,2021
20,11,Everton,12,4,3,5,16,19,-3,15,0.2,2021-11-21,EVE,2021
22,12,Leicester City,12,4,3,5,16,21,-5,15,1.4,2021-11-20,LEI,2021
24,13,Southampton,12,3,5,4,11,14,-3,14,2.0,2021-11-20,SOU,2021
26,14,Brentford,12,3,4,5,16,17,-1,13,0.2,2021-11-20,BRE,2021
28,15,Aston Villa,12,4,1,7,16,20,-4,13,0.6,2021-11-20,AVL,2021
30,16,Watford,12,4,1,7,16,20,-4,13,1.2,2021-11-20,WAT,2021
32,17,Leeds United,12,2,5,5,12,20,-8,11,1.0,2021-11-21,LEE,2021
34,18,Burnley,12,1,6,5,14,20,-6,9,1.2,2021-11-20,BUR,2021
36,19,Norwich City,12,2,2,8,7,27,-20,8,1.4,2021-11-20,NOR,2021
38,20,Newcastle United,12,0,6,6,15,27,-12,6,0.6,2021-11-20,NEW,2021
