,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,22,18,2,2,54,13,41,56,3.0,2022-01-15,MCI,2021
2,2,Liverpool,21,13,6,2,55,18,37,45,1.6,2022-01-16,LIV,2021
4,3,Chelsea,23,12,8,3,46,18,28,44,1.2,2022-01-18,CHE,2021
6,4,West Ham United,22,11,4,7,41,30,11,37,1.8,2022-01-16,WHU,2021
8,5,Tottenham Hotspur,19,11,3,5,26,22,4,36,2.2,2022-01-19,TOT,2021
10,6,Arsenal,20,11,2,7,33,25,8,35,2.4,2022-01-01,ARS,2021
12,7,Manchester United,21,10,5,6,35,30,5,35,1.6,2022-01-19,MUN,2021
14,8,Wolverhampton Wanderers,20,9,4,7,17,15,2,31,2.0,2022-01-15,WOL,2021
16,9,Brighton and Hove Albion,21,6,11,4,22,22,0,29,1.8,2022-01-18,BHA,2021
18,10,Leicester City,19,7,4,8,33,36,-3,25,1.2,2022-01-19,LEI,2021
20,11,Crystal Palace,21,5,9,7,30,31,-1,24,1.0,2022-01-14,CRY,2021
22,12,Southampton,21,5,9,7,25,33,-8,24,1.6,2022-01-15,SOU,2021
24,13,Aston Villa,20,7,2,11,27,32,-5,23,0.8,2022-01-15,AVL,2021
26,14,Brentford,22,6,5,11,25,36,-11,23,0.6,2022-01-19,BRE,2021
28,15,Leeds United,20,5,7,8,24,39,-15,22,1.2,2022-01-16,LEE,2021
30,16,Everton,19,5,4,10,24,34,-10,19,0.8,2022-01-15,EVE,2021
32,17,Watford,19,4,2,13,23,37,-14,14,0.2,2022-01-15,WAT,2021
34,18,Norwich City,21,3,4,14,10,45,-35,13,0.6,2022-01-15,NOR,2021
36,19,Newcastle United,20,1,9,10,20,43,-23,12,0.4,2022-01-15,NEW,2021
38,20,Burnley,17,1,8,8,16,27,-11,11,0.4,2022-01-02,BUR,2021
