,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,19,15,2,2,50,12,38,47,3.0,2021-12-26,MCI,2021
2,2,Liverpool,18,12,5,1,50,15,35,41,2.6,2021-12-19,LIV,2021
4,3,Chelsea,19,12,5,2,42,13,29,41,1.6,2021-12-26,CHE,2021
6,4,Arsenal,19,11,2,6,32,23,9,35,2.4,2021-12-26,ARS,2021
8,5,Tottenham Hotspur,16,9,2,5,21,19,2,29,2.6,2021-12-26,TOT,2021
10,6,West Ham United,18,8,4,6,30,24,6,28,1.0,2021-12-26,WHU,2021
12,7,Manchester United,17,8,4,5,27,25,2,28,2.2,2021-12-27,MUN,2021
14,8,Wolverhampton Wanderers,18,7,4,7,13,14,-1,25,1.0,2021-12-19,WOL,2021
16,9,Brighton and Hove Albion,17,5,8,4,16,17,-1,23,1.2,2021-12-26,BHA,2021
18,10,Leicester City,17,6,4,7,30,33,-3,22,1.4,2021-12-26,LEI,2021
20,11,Aston Villa,18,7,1,10,24,28,-4,22,1.2,2021-12-26,AVL,2021
22,12,Crystal Palace,18,4,8,6,24,27,-3,20,0.8,2021-12-26,CRY,2021
24,13,Brentford,17,5,5,7,21,24,-3,20,1.4,2021-12-26,BRE,2021
26,14,Southampton,18,4,8,6,19,28,-9,20,1.2,2021-12-26,SOU,2021
28,15,Everton,17,5,4,8,21,29,-8,19,0.8,2021-12-16,EVE,2021
30,16,Leeds United,18,3,7,8,18,36,-18,16,0.8,2021-12-18,LEE,2021
32,17,Watford,16,4,1,11,21,31,-10,13,0.6,2021-12-10,WAT,2021
34,18,Burnley,15,1,8,6,14,21,-7,11,0.8,2021-12-12,BUR,2021
36,19,Newcastle United,19,1,8,10,19,42,-23,11,0.8,2021-12-27,NEW,2021
38,20,Norwich City,18,2,4,12,8,39,-31,10,0.2,2021-12-26,NOR,2021
