,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,30,23,4,3,70,18,52,73,2.0,2022-04-02,MCI,2021
2,2,Liverpool,30,22,6,2,77,20,57,72,3.0,2022-04-02,LIV,2021
4,3,Chelsea,29,17,8,4,58,23,35,59,2.4,2022-04-02,CHE,2021
6,4,Tottenham Hotspur,30,17,3,10,52,37,15,54,2.4,2022-04-03,TOT,2021
8,5,Arsenal,29,17,3,9,44,34,10,54,1.8,2022-04-04,ARS,2021
10,6,West Ham United,31,15,6,10,51,40,11,51,1.8,2022-04-03,WHU,2021
12,7,Manchester United,30,14,9,7,49,41,8,51,1.6,2022-04-02,MUN,2021
14,8,Wolverhampton Wanderers,31,15,4,12,33,27,6,49,1.8,2022-04-02,WOL,2021
16,9,Crystal Palace,30,8,13,9,42,38,4,37,2.2,2022-04-04,CRY,2021
18,10,Leicester City,28,10,7,11,43,47,-4,37,2.0,2022-04-02,LEI,2021
20,11,Aston Villa,30,11,3,16,42,42,0,36,1.2,2022-04-02,AVL,2021
22,12,Southampton,30,8,12,10,37,46,-9,36,0.8,2022-04-02,SOU,2021
24,13,Brighton and Hove Albion,30,7,13,10,26,36,-10,34,0.2,2022-04-02,BHA,2021
26,14,Brentford,31,9,6,16,37,48,-11,33,1.8,2022-04-02,BRE,2021
28,15,Newcastle United,30,7,10,13,33,54,-21,31,1.2,2022-04-03,NEW,2021
30,16,Leeds United,31,7,9,15,35,68,-33,30,1.4,2022-04-02,LEE,2021
32,17,Everton,29,7,4,18,32,52,-20,25,0.6,2022-04-06,EVE,2021
34,18,Burnley,29,4,12,13,25,42,-17,24,0.6,2022-04-06,BUR,2021
36,19,Watford,30,6,4,20,29,57,-28,22,0.8,2022-04-02,WAT,2021
38,20,Norwich City,30,4,6,20,18,63,-45,18,0.2,2022-04-02,NOR,2021
