,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Chelsea,14,10,3,1,33,6,27,33,2.2,2021-12-01,CHE,2021
2,2,Manchester City,14,10,2,2,29,8,21,32,2.4,2021-12-01,MCI,2021
4,3,Liverpool,14,9,4,1,43,12,31,31,2.0,2021-12-01,LIV,2021
6,4,West Ham United,14,7,3,4,25,17,8,24,1.4,2021-12-01,WHU,2021
8,5,Arsenal,14,7,2,5,17,20,-3,23,1.8,2021-12-02,ARS,2021
10,6,Tottenham Hotspur,13,7,1,5,13,17,-4,22,1.4,2021-12-02,TOT,2021
12,7,Manchester United,14,6,3,5,24,24,0,21,1.4,2021-12-02,MUN,2021
14,8,Wolverhampton Wanderers,14,6,3,5,12,12,0,21,1.6,2021-12-01,WOL,2021
16,9,Brighton and Hove Albion,14,4,7,3,13,15,-2,19,0.8,2021-12-01,BHA,2021
18,10,Leicester City,14,5,4,5,22,25,-3,19,1.0,2021-12-01,LEI,2021
20,11,Crystal Palace,14,3,7,4,19,20,-1,16,1.4,2021-11-30,CRY,2021
22,12,Brentford,14,4,4,6,17,19,-2,16,0.8,2021-12-02,BRE,2021
24,13,Aston Villa,14,5,1,8,19,23,-4,16,1.2,2021-12-01,AVL,2021
26,14,Everton,14,4,3,7,17,24,-7,15,0.2,2021-12-01,EVE,2021
28,15,Leeds United,14,3,6,5,13,20,-7,15,1.6,2021-11-30,LEE,2021
30,16,Southampton,14,3,6,5,13,20,-7,15,1.4,2021-12-01,SOU,2021
32,17,Watford,14,4,1,9,19,26,-7,13,0.6,2021-12-01,WAT,2021
34,18,Burnley,13,1,7,5,14,20,-6,10,1.4,2021-12-01,BUR,2021
36,19,Norwich City,14,2,4,8,8,28,-20,10,1.6,2021-11-30,NOR,2021
38,20,Newcastle United,14,0,7,7,16,30,-14,7,0.6,2021-11-30,NEW,2021
