,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,36,28,5,3,94,22,72,89,3.0,2022-05-11,MCI,2021
2,2,Liverpool,36,26,8,2,89,24,65,86,2.6,2022-05-10,LIV,2021
4,3,Chelsea,36,20,10,6,73,31,42,70,1.6,2022-05-11,CHE,2021
6,4,Arsenal,36,21,3,12,56,45,11,66,2.4,2022-05-12,ARS,2021
8,5,Tottenham Hotspur,36,20,5,11,63,40,23,65,1.6,2022-05-12,TOT,2021
10,6,Manchester United,37,16,10,11,57,56,1,58,0.8,2022-05-07,MUN,2021
12,7,West Ham United,36,16,7,13,57,46,11,55,0.8,2022-05-08,WHU,2021
14,8,Wolverhampton Wanderers,36,15,5,16,36,39,-3,50,0.2,2022-05-11,WOL,2021
16,9,Brighton and Hove Albion,36,11,14,11,38,42,-4,47,2.0,2022-05-07,BHA,2021
18,10,Leicester City,35,12,9,14,52,56,-4,45,1.0,2022-05-11,LEI,2021
20,11,Crystal Palace,35,10,14,11,46,42,4,44,1.4,2022-05-07,CRY,2021
22,12,Aston Villa,35,13,4,18,48,49,-1,43,1.4,2022-05-10,AVL,2021
24,13,Brentford,36,12,7,17,44,52,-8,43,2.0,2022-05-07,BRE,2021
26,14,Newcastle United,36,11,10,15,40,61,-21,43,1.8,2022-05-08,NEW,2021
28,15,Southampton,36,9,13,14,41,61,-20,40,0.8,2022-05-07,SOU,2021
30,16,Everton,35,10,6,19,37,56,-19,36,1.6,2022-05-11,EVE,2021
32,17,Burnley,35,7,13,15,32,49,-17,34,2.0,2022-05-07,BUR,2021
34,18,Leeds United,36,8,10,18,39,77,-38,34,0.8,2022-05-11,LEE,2021
36,19,Watford,36,6,5,25,32,70,-38,23,0.2,2022-05-11,WAT,2021
38,20,Norwich City,36,5,6,25,22,78,-56,21,0.0,2022-05-11,NOR,2021
