,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,26,20,3,3,63,17,46,63,2.0,2022-02-19,MCI,2021
2,2,Liverpool,26,18,6,2,70,20,50,60,3.0,2022-02-23,LIV,2021
4,3,Chelsea,25,14,8,3,49,18,31,50,1.6,2022-02-19,CHE,2021
6,4,Manchester United,26,13,7,6,44,34,10,46,2.2,2022-02-20,MUN,2021
8,5,Arsenal,24,14,3,7,38,27,11,45,2.0,2022-02-24,ARS,2021
10,6,West Ham United,26,12,6,8,45,34,11,42,1.0,2022-02-19,WHU,2021
12,7,Wolverhampton Wanderers,25,12,4,9,24,20,4,40,1.8,2022-02-24,WOL,2021
14,8,Tottenham Hotspur,24,12,3,9,31,32,-1,39,0.6,2022-02-23,TOT,2021
16,9,Brighton and Hove Albion,25,7,12,6,25,28,-3,33,1.0,2022-02-19,BHA,2021
18,10,Southampton,25,7,11,7,32,37,-5,32,1.6,2022-02-19,SOU,2021
20,11,Crystal Palace,26,6,11,9,36,37,-1,29,1.0,2022-02-23,CRY,2021
22,12,Leicester City,23,7,6,10,37,43,-6,27,0.4,2022-02-20,LEI,2021
24,13,Aston Villa,24,8,3,13,31,37,-6,27,1.0,2022-02-19,AVL,2021
26,14,Brentford,26,6,6,14,27,42,-15,24,0.2,2022-02-19,BRE,2021
28,15,Leeds United,25,5,8,12,29,56,-27,23,0.2,2022-02-23,LEE,2021
30,16,Everton,23,6,4,13,28,40,-12,22,0.6,2022-02-19,EVE,2021
32,17,Newcastle United,24,4,10,10,26,45,-19,22,2.2,2022-02-19,NEW,2021
34,18,Burnley,23,3,11,9,21,29,-8,20,1.6,2022-02-23,BUR,2021
36,19,Watford,25,5,3,17,25,47,-22,18,0.8,2022-02-23,WAT,2021
38,20,Norwich City,25,4,5,16,15,53,-38,17,1.4,2022-02-19,NOR,2021
