,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Tottenham Hotspur,3,3,0,0,3,0,3,9,3.0,2021-08-29,TOT,2021
2,2,West Ham United,3,2,1,0,10,5,5,7,2.3333333333333335,2021-08-28,WHU,2021
4,3,Manchester United,3,2,1,0,7,2,5,7,2.3333333333333335,2021-08-29,MUN,2021
6,4,Chelsea,3,2,1,0,6,1,5,7,2.3333333333333335,2021-08-28,CHE,2021
8,5,Liverpool,3,2,1,0,6,1,5,7,2.3333333333333335,2021-08-28,LIV,2021
10,6,Everton,3,2,1,0,7,3,4,7,2.3333333333333335,2021-08-28,EVE,2021
12,7,Manchester City,3,2,0,1,10,1,9,6,2.0,2021-08-28,MCI,2021
14,8,Brighton and Hove Albion,3,2,0,1,4,3,1,6,2.0,2021-08-28,BHA,2021
16,9,Leicester City,3,2,0,1,4,5,-1,6,2.0,2021-08-28,LEI,2021
18,10,Brentford,3,1,2,0,3,1,2,5,1.6666666666666667,2021-08-28,BRE,2021
20,11,Aston Villa,3,1,1,1,5,4,1,4,1.3333333333333333,2021-08-28,AVL,2021
22,12,Watford,3,1,0,2,3,5,-2,3,1.0,2021-08-29,WAT,2021
24,13,Southampton,3,0,2,1,4,6,-2,2,0.6666666666666666,2021-08-28,SOU,2021
26,14,Crystal Palace,3,0,2,1,2,5,-3,2,0.6666666666666666,2021-08-28,CRY,2021
28,15,Leeds United,3,0,2,1,4,8,-4,2,0.6666666666666666,2021-08-29,LEE,2021
30,16,Burnley,3,0,1,2,2,5,-3,1,0.3333333333333333,2021-08-29,BUR,2021
32,17,Newcastle United,3,0,1,2,4,8,-4,1,0.3333333333333333,2021-08-28,NEW,2021
34,18,Wolverhampton Wanderers,3,0,0,3,0,3,-3,0,0.0,2021-08-29,WOL,2021
36,19,Norwich City,3,0,0,3,1,10,-9,0,0.0,2021-08-28,NOR,2021
38,20,Arsenal,3,0,0,3,0,9,-9,0,0.0,2021-08-28,ARS,2021
