,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,West Ham United,2,2,0,0,8,3,5,6,3.0,2021-08-23,WHU,2021
2,2,Chelsea,2,2,0,0,5,0,5,6,3.0,2021-08-22,CHE,2021
4,3,Liverpool,2,2,0,0,5,0,5,6,3.0,2021-08-21,LIV,2021
6,4,Brighton and Hove Albion,2,2,0,0,4,1,3,6,3.0,2021-08-21,BHA,2021
8,5,Tottenham Hotspur,2,2,0,0,2,0,2,6,3.0,2021-08-22,TOT,2021
10,6,Manchester United,2,1,1,0,6,2,4,4,2.0,2021-08-22,MUN,2021
12,7,Everton,2,1,1,0,5,3,2,4,2.0,2021-08-21,EVE,2021
14,8,Brentford,2,1,1,0,2,0,2,4,2.0,2021-08-21,BRE,2021
16,9,Manchester City,2,1,0,1,5,1,4,3,1.5,2021-08-21,MCI,2021
18,10,Aston Villa,2,1,0,1,4,3,1,3,1.5,2021-08-21,AVL,2021
20,11,Watford,2,1,0,1,3,4,-1,3,1.5,2021-08-21,WAT,2021
22,12,Leicester City,2,1,0,1,2,4,-2,3,1.5,2021-08-23,LEI,2021
24,13,Southampton,2,0,1,1,2,4,-2,1,0.5,2021-08-22,SOU,2021
26,14,Crystal Palace,2,0,1,1,0,3,-3,1,0.5,2021-08-21,CRY,2021
28,15,Leeds United,2,0,1,1,3,7,-4,1,0.5,2021-08-21,LEE,2021
30,16,Wolverhampton Wanderers,2,0,0,2,0,2,-2,0,0.0,2021-08-22,WOL,2021
32,17,Burnley,2,0,0,2,1,4,-3,0,0.0,2021-08-21,BUR,2021
34,18,Newcastle United,2,0,0,2,2,6,-4,0,0.0,2021-08-21,NEW,2021
36,19,Arsenal,2,0,0,2,0,4,-4,0,0.0,2021-08-22,ARS,2021
38,20,Norwich City,2,0,0,2,0,8,-8,0,0.0,2021-08-21,NOR,2021
