,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester United,1,1,0,0,5,1,4,3,3.0,2021-08-14,MUN,2021
2,2,Chelsea,1,1,0,0,3,0,3,3,3.0,2021-08-14,CHE,2021
4,3,Liverpool,1,1,0,0,3,0,3,3,3.0,2021-08-14,LIV,2021
6,4,West Ham United,1,1,0,0,4,2,2,3,3.0,2021-08-15,WHU,2021
8,5,Everton,1,1,0,0,3,1,2,3,3.0,2021-08-14,EVE,2021
10,6,Brentford,1,1,0,0,2,0,2,3,3.0,2021-08-13,BRE,2021
12,7,Watford,1,1,0,0,3,2,1,3,3.0,2021-08-14,WAT,2021
14,8,Brighton and Hove Albion,1,1,0,0,2,1,1,3,3.0,2021-08-14,BHA,2021
16,9,Leicester City,1,1,0,0,1,0,1,3,3.0,2021-08-14,LEI,2021
18,10,Tottenham Hotspur,1,1,0,0,1,0,1,3,3.0,2021-08-15,TOT,2021
20,11,Aston Villa,1,0,0,1,2,3,-1,0,0.0,2021-08-14,AVL,2021
22,12,Burnley,1,0,0,1,1,2,-1,0,0.0,2021-08-14,BUR,2021
24,13,Manchester City,1,0,0,1,0,1,-1,0,0.0,2021-08-15,MCI,2021
26,14,Wolverhampton Wanderers,1,0,0,1,0,1,-1,0,0.0,2021-08-14,WOL,2021
28,15,Newcastle United,1,0,0,1,2,4,-2,0,0.0,2021-08-15,NEW,2021
30,16,Southampton,1,0,0,1,1,3,-2,0,0.0,2021-08-14,SOU,2021
32,17,Arsenal,1,0,0,1,0,2,-2,0,0.0,2021-08-13,ARS,2021
34,18,Crystal Palace,1,0,0,1,0,3,-3,0,0.0,2021-08-14,CRY,2021
36,19,Norwich City,1,0,0,1,0,3,-3,0,0.0,2021-08-14,NOR,2021
38,20,Leeds United,1,0,0,1,1,5,-4,0,0.0,2021-08-14,LEE,2021
