,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,33,25,5,3,80,21,59,80,2.2,4/23/2022,MCI,2021
2,2,Liverpool,33,24,7,2,85,22,63,79,2.6,4/24/2022,LIV,2021
4,3,Chelsea,33,19,9,5,68,28,40,66,1.4,4/28/2022,CHE,2021
6,4,Arsenal,33,19,3,11,52,40,12,60,1.2,4/23/2022,ARS,2021
8,5,Tottenham Hotspur,33,18,4,11,56,38,18,58,2,4/23/2022,TOT,2021
10,6,Manchester United,35,15,10,10,54,52,2,55,0.8,4/28/2022,MUN,2021
12,7,West Ham United,34,15,7,12,52,44,8,52,0.8,4/24/2022,WHU,2021
14,8,Wolverhampton Wanderers,33,15,4,14,33,29,4,49,1.2,4/24/2022,WOL,2021
16,9,Newcastle United,34,11,10,13,40,55,-15,43,2.4,4/23/2022,NEW,2021
18,10,Leicester City,32,11,9,12,47,51,-4,42,1.2,4/23/2022,LEI,2021
20,11,Brighton and Hove Albion,34,9,14,11,31,42,-11,41,1.6,4/24/2022,BHA,2021
22,12,Brentford,34,11,7,16,41,49,-8,40,2,4/23/2022,BRE,2021
24,13,Southampton,34,9,13,12,40,56,-16,40,1,4/24/2022,SOU,2021
26,14,Crystal Palace,33,8,14,11,43,41,2,38,1,4/25/2022,CRY,2021
28,15,Aston Villa,32,11,4,17,42,46,-4,37,0.2,4/23/2022,AVL,2021
30,16,Leeds United,33,8,10,15,38,68,-30,34,2.2,4/25/2022,LEE,2021
32,17,Burnley,33,6,13,14,29,45,-16,31,2,4/24/2022,BUR,2021
34,18,Everton,32,8,5,19,34,55,-21,29,0.8,4/24/2022,EVE,2021
36,19,Watford,33,6,4,23,31,67,-36,22,0.6,4/23/2022,WAT,2021
38,20,Norwich City,33,5,6,22,22,69,-47,21,0.8,4/23/2022,NOR,2021
