,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,23,18,3,2,55,14,41,57,2.6,2022-01-22,MCI,2021
2,2,Liverpool,22,14,6,2,58,19,39,48,1.6,2022-01-23,LIV,2021
4,3,Chelsea,24,13,8,3,48,18,30,47,1.2,2022-01-23,CHE,2021
6,4,Manchester United,22,11,5,6,36,30,6,38,2.0,2022-01-22,MUN,2021
8,5,West Ham United,23,11,4,8,41,31,10,37,1.8,2022-01-22,WHU,2021
10,6,Arsenal,21,11,3,7,33,25,8,36,2.0,2022-01-23,ARS,2021
12,7,Tottenham Hotspur,20,11,3,6,26,24,2,36,2.0,2022-01-23,TOT,2021
14,8,Wolverhampton Wanderers,21,10,4,7,19,16,3,34,2.6,2022-01-22,WOL,2021
16,9,Brighton and Hove Albion,22,6,12,4,23,23,0,30,1.4,2022-01-23,BHA,2021
18,10,Leicester City,20,7,5,8,34,37,-3,26,1.4,2022-01-23,LEI,2021
20,11,Aston Villa,21,8,2,11,28,32,-4,26,1.4,2022-01-22,AVL,2021
22,12,Southampton,22,5,10,7,26,34,-8,25,1.6,2022-01-22,SOU,2021
24,13,Crystal Palace,22,5,9,8,31,34,-3,24,0.8,2022-01-23,CRY,2021
26,14,Brentford,23,6,5,12,26,38,-12,23,0.6,2022-01-22,BRE,2021
28,15,Leeds United,21,5,7,9,24,40,-16,22,1.2,2022-01-22,LEE,2021
30,16,Everton,20,5,4,11,24,35,-11,19,0.2,2022-01-22,EVE,2021
32,17,Norwich City,22,4,4,14,13,45,-32,16,1.2,2022-01-21,NOR,2021
34,18,Watford,21,4,3,14,23,40,-17,15,0.4,2022-02-05,WAT,2021
36,19,Newcastle United,21,2,9,10,21,43,-22,15,1.0,2022-01-22,NEW,2021
38,20,Burnley,19,1,10,8,16,27,-11,13,0.6,2022-02-05,BUR,2021
