,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,38,29,6,3,99,26,73,93,2.6,2022-05-22,MCI,2021
2,2,Liverpool,38,28,8,2,94,26,68,92,2.6,2022-05-22,LIV,2021
4,3,Chelsea,38,21,11,6,76,33,43,74,1.6,2022-05-22,CHE,2021
6,4,Tottenham Hotspur,38,22,5,11,69,40,29,71,2.6,2022-05-22,TOT,2021
8,5,Arsenal,38,22,3,13,61,48,13,69,1.8,2022-05-22,ARS,2021
10,6,Manchester United,38,16,10,12,57,57,0,58,0.8,2022-05-22,MUN,2021
12,7,West Ham United,38,16,8,14,60,51,9,56,0.8,2022-05-22,WHU,2021
14,8,Leicester City,38,14,10,14,62,59,3,52,2.0,2022-05-22,LEI,2021
16,9,Brighton and Hove Albion,38,12,15,11,42,44,-2,51,2.2,2022-05-22,BHA,2021
18,10,Wolverhampton Wanderers,38,15,6,17,38,43,-5,51,0.4,2022-05-22,WOL,2021
20,11,Newcastle United,38,13,10,15,44,62,-18,49,1.8,2022-05-22,NEW,2021
22,12,Crystal Palace,38,11,15,12,50,46,4,48,2.0,2022-05-22,CRY,2021
24,13,Brentford,38,13,7,18,48,56,-8,46,1.4,2022-05-22,BRE,2021
26,14,Aston Villa,38,13,6,19,52,54,-2,45,1.0,2022-05-22,AVL,2021
28,15,Southampton,38,9,13,16,43,67,-24,40,0.2,2022-05-22,SOU,2021
30,16,Everton,38,11,6,21,43,66,-23,39,1.4,2022-05-22,EVE,2021
32,17,Leeds United,38,9,11,18,42,79,-37,38,0.8,2022-05-22,LEE,2021
34,18,Burnley,38,7,14,17,34,53,-19,35,0.8,2022-05-22,BUR,2021
36,19,Watford,38,6,5,27,34,77,-43,23,0.2,2022-05-22,WAT,2021
38,20,Norwich City,38,5,7,26,23,84,-61,22,0.2,2022-05-22,NOR,2021
