,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,21,17,2,2,53,13,40,53,3.0,2022-01-01,MCI,2021
2,2,Chelsea,21,12,7,2,45,16,29,43,1.4,2022-01-02,CHE,2021
4,3,Liverpool,20,12,6,2,52,18,34,42,1.6,2022-01-02,LIV,2021
6,4,West Ham United,21,11,4,6,39,27,12,37,1.8,2022-01-12,WHU,2021
8,5,Arsenal,20,11,2,7,33,25,8,35,2.4,2022-01-01,ARS,2021
10,6,Tottenham Hotspur,18,10,3,5,23,20,3,33,2.2,2022-01-01,TOT,2021
12,7,Manchester United,19,9,4,6,30,27,3,31,2.0,2022-01-03,MUN,2021
14,8,Wolverhampton Wanderers,19,8,4,7,14,14,0,28,1.4,2022-01-03,WOL,2021
16,9,Brighton and Hove Albion,19,6,9,4,20,20,0,27,1.6,2022-01-02,BHA,2021
18,10,Leicester City,18,7,4,7,31,33,-2,25,1.4,2021-12-28,LEI,2021
20,11,Southampton,20,5,9,6,24,30,-6,24,1.6,2022-01-11,SOU,2021
22,12,Crystal Palace,20,5,8,7,29,30,-1,23,1.4,2022-01-01,CRY,2021
24,13,Brentford,20,6,5,9,24,30,-6,23,1.2,2022-01-11,BRE,2021
26,14,Aston Villa,19,7,1,11,25,30,-5,22,1.2,2022-01-02,AVL,2021
28,15,Everton,18,5,4,9,23,32,-9,19,0.8,2022-01-02,EVE,2021
30,16,Leeds United,19,4,7,8,21,37,-16,19,0.8,2022-01-02,LEE,2021
32,17,Watford,18,4,1,13,22,36,-14,13,0.0,2022-01-01,WAT,2021
34,18,Burnley,17,1,8,8,16,27,-11,11,0.4,2022-01-02,BUR,2021
36,19,Newcastle United,19,1,8,10,19,42,-23,11,0.8,2021-12-27,NEW,2021
38,20,Norwich City,20,2,4,14,8,44,-36,10,0.0,2022-01-12,NOR,2021
