,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,37,28,6,3,96,24,72,90,2.6,2022-05-15,MCI,2021
2,2,Liverpool,37,27,8,2,91,25,66,89,2.6,2022-05-17,LIV,2021
4,3,Chelsea,37,20,11,6,74,32,42,71,1.2,2022-05-19,CHE,2021
6,4,Tottenham Hotspur,37,21,5,11,64,40,24,68,2.2,2022-05-15,TOT,2021
8,5,Arsenal,37,21,3,13,56,47,9,66,1.8,2022-05-16,ARS,2021
10,6,Manchester United,37,16,10,11,57,56,1,58,0.8,2022-05-07,MUN,2021
12,7,West Ham United,37,16,8,13,59,48,11,56,1.0,2022-05-15,WHU,2021
14,8,Wolverhampton Wanderers,37,15,6,16,37,40,-3,51,0.4,2022-05-15,WOL,2021
16,9,Leicester City,37,13,10,14,58,58,0,49,1.4,2022-05-19,LEI,2021
18,10,Brighton and Hove Albion,37,11,15,11,39,43,-4,48,1.6,2022-05-15,BHA,2021
20,11,Brentford,37,13,7,17,47,54,-7,46,2.0,2022-05-15,BRE,2021
22,12,Newcastle United,37,12,10,15,42,61,-19,46,1.8,2022-05-16,NEW,2021
24,13,Crystal Palace,37,10,15,12,49,46,3,45,1.6,2022-05-19,CRY,2021
26,14,Aston Villa,37,13,6,18,50,51,-1,45,1.6,2022-05-19,AVL,2021
28,15,Southampton,37,9,13,15,42,63,-21,40,0.2,2022-05-17,SOU,2021
30,16,Everton,37,11,6,20,42,61,-19,39,2.0,2022-05-19,EVE,2021
32,17,Burnley,37,7,14,16,33,51,-18,35,1.4,2022-05-19,BUR,2021
34,18,Leeds United,37,8,11,18,40,78,-38,35,0.4,2022-05-15,LEE,2021
36,19,Watford,37,6,5,26,33,75,-42,23,0.2,2022-05-15,WAT,2021
38,20,Norwich City,37,5,7,25,23,79,-56,22,0.2,2022-05-15,NOR,2021
