,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,29,22,4,3,68,18,50,70,2.0,2022-03-14,MCI,2021
2,2,Liverpool,29,21,6,2,75,20,55,69,3.0,2022-03-16,LIV,2021
4,3,Chelsea,28,17,8,3,57,19,38,59,3.0,2022-03-13,CHE,2021
6,4,Arsenal,27,16,3,8,43,31,12,51,2.4,2022-03-16,ARS,2021
8,5,Manchester United,29,14,8,7,48,40,8,50,2.0,2022-03-12,MUN,2021
10,6,West Ham United,29,14,6,9,48,36,12,48,1.6,2022-03-13,WHU,2021
12,7,Tottenham Hotspur,28,15,3,10,44,35,9,48,1.8,2022-03-16,TOT,2021
14,8,Wolverhampton Wanderers,29,14,4,11,29,23,6,46,1.2,2022-03-13,WOL,2021
16,9,Aston Villa,28,11,3,14,41,39,2,36,1.8,2022-03-13,AVL,2021
18,10,Southampton,29,8,11,10,36,45,-9,35,1.2,2022-03-13,SOU,2021
20,11,Crystal Palace,29,7,13,9,39,38,1,34,1.6,2022-03-14,CRY,2021
22,12,Leicester City,26,9,6,11,40,45,-5,33,1.4,2022-03-13,LEI,2021
24,13,Brighton and Hove Albion,29,7,12,10,26,36,-10,33,0.0,2022-03-16,BHA,2021
26,14,Newcastle United,29,7,10,12,32,49,-17,31,1.8,2022-03-17,NEW,2021
28,15,Brentford,29,8,6,15,32,45,-13,30,1.4,2022-03-12,BRE,2021
30,16,Leeds United,29,6,8,15,31,65,-34,26,0.6,2022-03-13,LEE,2021
32,17,Everton,27,7,4,16,29,47,-18,25,0.6,2022-03-17,EVE,2021
34,18,Watford,29,6,4,19,29,55,-26,22,0.8,2022-03-13,WAT,2021
36,19,Burnley,27,3,12,12,22,38,-16,21,0.8,2022-03-12,BUR,2021
38,20,Norwich City,29,4,5,20,18,63,-45,17,0.0,2022-03-13,NOR,2021
