,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Chelsea,13,9,3,1,31,5,26,30,2.2,2021-11-28,CHE,2021
2,2,Manchester City,13,9,2,2,27,7,20,29,2.4,2021-11-28,MCI,2021
4,3,Liverpool,13,8,4,1,39,11,28,28,2.0,2021-11-27,LIV,2021
6,4,West Ham United,13,7,2,4,24,16,8,23,1.8,2021-11-28,WHU,2021
8,5,Arsenal,13,7,2,4,15,17,-2,23,2.4,2021-11-27,ARS,2021
10,6,Wolverhampton Wanderers,13,6,2,5,12,12,0,20,1.6,2021-11-27,WOL,2021
12,7,Tottenham Hotspur,12,6,1,5,11,17,-6,19,1.4,2021-11-21,TOT,2021
14,8,Manchester United,13,5,3,5,21,22,-1,18,0.8,2021-11-28,MUN,2021
16,9,Brighton and Hove Albion,13,4,6,3,12,14,-2,18,0.6,2021-11-27,BHA,2021
18,10,Leicester City,13,5,3,5,20,23,-3,18,1.4,2021-11-28,LEI,2021
20,11,Crystal Palace,13,3,7,3,19,19,0,16,1.6,2021-11-27,CRY,2021
22,12,Brentford,13,4,4,5,17,17,0,16,0.8,2021-11-28,BRE,2021
24,13,Aston Villa,13,5,1,7,18,21,-3,16,1.2,2021-11-27,AVL,2021
26,14,Everton,13,4,3,6,16,20,-4,15,0.2,2021-11-28,EVE,2021
28,15,Southampton,13,3,5,5,11,18,-7,14,1.4,2021-11-27,SOU,2021
30,16,Watford,13,4,1,8,18,24,-6,13,1.2,2021-11-28,WAT,2021
32,17,Leeds United,13,2,6,5,12,20,-8,12,1.2,2021-11-27,LEE,2021
34,18,Burnley,12,1,6,5,14,20,-6,9,1.2,2021-11-20,BUR,2021
36,19,Norwich City,13,2,3,8,7,27,-20,9,1.4,2021-11-27,NOR,2021
38,20,Newcastle United,13,0,6,7,15,29,-14,6,0.6,2021-11-27,NEW,2021
