,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Chelsea,7,5,1,1,15,3,12,16,2.0,2021-10-02,CHE,2021
2,2,Liverpool,7,4,3,0,17,6,11,15,1.8,2021-10-03,LIV,2021
4,3,Manchester City,7,4,2,1,14,3,11,14,2.2,2021-10-03,MCI,2021
6,4,Manchester United,7,4,2,1,14,6,8,14,2.0,2021-10-02,MUN,2021
8,5,Everton,7,4,2,1,13,8,5,14,2.0,2021-10-02,EVE,2021
10,6,Brighton and Hove Albion,7,4,2,1,8,5,3,14,1.6,2021-10-02,BHA,2021
12,7,Brentford,7,3,3,1,10,6,4,12,1.6,2021-10-03,BRE,2021
14,8,Tottenham Hotspur,7,4,0,3,6,10,-4,12,1.2,2021-10-03,TOT,2021
16,9,West Ham United,7,3,2,2,14,10,4,11,1.0,2021-10-03,WHU,2021
18,10,Aston Villa,7,3,1,3,10,9,1,10,1.4,2021-10-03,AVL,2021
20,11,Arsenal,7,3,1,3,5,10,-5,10,2.0,2021-10-02,ARS,2021
22,12,Wolverhampton Wanderers,7,3,0,4,5,6,-1,9,1.8,2021-10-02,WOL,2021
24,13,Leicester City,7,2,2,3,9,12,-3,8,1.0,2021-10-03,LEI,2021
26,14,Crystal Palace,7,1,4,2,8,11,-3,7,1.2,2021-10-03,CRY,2021
28,15,Watford,7,2,1,4,7,10,-3,7,0.8,2021-10-02,WAT,2021
30,16,Leeds United,7,1,3,3,7,14,-7,6,1.0,2021-10-02,LEE,2021
32,17,Southampton,7,0,4,3,5,10,-5,4,0.6,2021-10-02,SOU,2021
34,18,Burnley,7,0,3,4,5,11,-6,3,0.6,2021-10-02,BUR,2021
36,19,Newcastle United,7,0,3,4,8,16,-8,3,0.6,2021-10-02,NEW,2021
38,20,Norwich City,7,0,1,6,2,16,-14,1,0.2,2021-10-02,NOR,2021
