,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Chelsea,10,8,1,1,26,3,23,25,2.4,2021-10-30,CHE,2021
2,2,Liverpool,10,6,4,0,29,8,21,22,1.8,2021-10-30,LIV,2021
4,3,Manchester City,10,6,2,2,20,6,14,20,2.0,2021-10-30,MCI,2021
6,4,West Ham United,10,6,2,2,20,11,9,20,2.4,2021-10-31,WHU,2021
8,5,Manchester United,10,5,2,3,19,15,4,17,0.8,2021-10-30,MUN,2021
10,6,Arsenal,10,5,2,3,12,13,-1,17,2.2,2021-10-30,ARS,2021
12,7,Wolverhampton Wanderers,10,5,1,4,11,10,1,16,2.6,2021-11-01,WOL,2021
14,8,Brighton and Hove Albion,10,4,4,2,11,11,0,16,0.8,2021-10-30,BHA,2021
16,9,Tottenham Hotspur,10,5,0,5,9,16,-7,15,1.2,2021-10-30,TOT,2021
18,10,Everton,10,4,2,4,16,16,0,14,0.8,2021-11-01,EVE,2021
20,11,Leicester City,10,4,2,4,15,17,-2,14,1.6,2021-10-30,LEI,2021
22,12,Brentford,10,3,3,4,12,12,0,12,0.8,2021-10-30,BRE,2021
24,13,Crystal Palace,10,2,6,2,13,14,-1,12,1.4,2021-10-30,CRY,2021
26,14,Southampton,10,2,5,3,9,12,-3,11,1.4,2021-10-30,SOU,2021
28,15,Aston Villa,10,3,1,6,14,19,-5,10,0.6,2021-10-31,AVL,2021
30,16,Watford,10,3,1,6,12,18,-6,10,0.8,2021-10-30,WAT,2021
32,17,Leeds United,10,2,4,4,10,17,-7,10,1.4,2021-10-31,LEE,2021
34,18,Burnley,10,1,4,5,10,16,-6,7,1.2,2021-10-30,BUR,2021
36,19,Newcastle United,10,0,4,6,11,23,-12,4,0.4,2021-10-30,NEW,2021
38,20,Norwich City,10,0,2,8,3,25,-22,2,0.4,2021-10-31,NOR,2021
