,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,32,24,5,3,75,20,55,77,2.2,2022-04-20,MCI,2021
2,2,Liverpool,32,23,7,2,83,22,61,76,2.6,2022-04-19,LIV,2021
4,3,Chelsea,31,18,8,5,66,27,39,62,1.8,2022-04-20,CHE,2021
6,4,Tottenham Hotspur,32,18,3,11,56,38,18,57,2.4,2022-04-16,TOT,2021
8,5,Arsenal,32,18,3,11,49,39,10,57,1.2,2022-04-20,ARS,2021
10,6,Manchester United,33,15,9,9,52,48,4,54,1.4,2022-04-19,MUN,2021
12,7,West Ham United,33,15,7,11,52,43,9,52,1.4,2022-04-17,WHU,2021
14,8,Wolverhampton Wanderers,32,15,4,13,33,28,5,49,1.8,2022-04-08,WOL,2021
16,9,Leicester City,31,11,8,12,47,51,-4,41,1.6,2022-04-20,LEI,2021
18,10,Brighton and Hove Albion,33,9,13,11,29,40,-11,40,1.4,2022-04-20,BHA,2021
20,11,Newcastle United,33,10,10,13,37,55,-18,40,1.8,2022-04-20,NEW,2021
22,12,Brentford,33,11,6,16,41,49,-8,39,2.4,2022-04-16,BRE,2021
24,13,Southampton,33,9,12,12,38,54,-16,39,0.8,2022-04-21,SOU,2021
26,14,Crystal Palace,32,8,13,11,43,41,2,37,1.4,2022-04-20,CRY,2021
28,15,Aston Villa,31,11,3,17,42,46,-4,36,0.6,2022-04-09,AVL,2021
30,16,Leeds United,32,8,9,15,38,68,-30,33,2.0,2022-04-09,LEE,2021
32,17,Everton,31,8,5,18,34,53,-19,29,1.4,2022-04-20,EVE,2021
34,18,Burnley,32,5,13,14,28,45,-17,28,1.4,2022-04-21,BUR,2021
36,19,Watford,32,6,4,22,30,62,-32,22,0.6,2022-04-16,WAT,2021
38,20,Norwich City,32,5,6,21,22,66,-44,21,0.8,2022-04-16,NOR,2021
