,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Chelsea,11,8,2,1,27,4,23,26,2.6,2021-11-06,CHE,2021
2,2,Manchester City,11,7,2,2,22,6,16,23,2.0,2021-11-06,MCI,2021
4,3,West Ham United,11,7,2,2,23,13,10,23,2.4,2021-11-07,WHU,2021
6,4,Liverpool,11,6,4,1,31,11,20,22,1.6,2021-11-07,LIV,2021
8,5,Arsenal,11,6,2,3,13,13,0,20,2.2,2021-11-07,ARS,2021
10,6,Manchester United,11,5,2,4,19,17,2,17,0.8,2021-11-06,MUN,2021
12,7,Brighton and Hove Albion,11,4,5,2,12,12,0,17,0.8,2021-11-06,BHA,2021
14,8,Wolverhampton Wanderers,11,5,1,5,11,12,-1,16,2.0,2021-11-06,WOL,2021
16,9,Tottenham Hotspur,11,5,1,5,9,16,-7,16,1.4,2021-11-07,TOT,2021
18,10,Crystal Palace,11,3,6,2,15,14,1,15,1.8,2021-11-06,CRY,2021
20,11,Everton,11,4,3,4,16,16,0,15,0.4,2021-11-07,EVE,2021
22,12,Leicester City,11,4,3,4,16,18,-2,15,1.6,2021-11-07,LEI,2021
24,13,Southampton,11,3,5,3,10,12,-2,14,2.0,2021-11-05,SOU,2021
26,14,Brentford,11,3,3,5,13,14,-1,12,0.6,2021-11-06,BRE,2021
28,15,Leeds United,11,2,5,4,11,18,-7,11,1.6,2021-11-07,LEE,2021
30,16,Aston Villa,11,3,1,7,14,20,-6,10,0.0,2021-11-05,AVL,2021
32,17,Watford,11,3,1,7,12,19,-7,10,0.6,2021-11-07,WAT,2021
34,18,Burnley,11,1,5,5,11,17,-6,8,1.2,2021-11-06,BUR,2021
36,19,Newcastle United,11,0,5,6,12,24,-12,5,0.4,2021-11-06,NEW,2021
38,20,Norwich City,11,1,2,8,5,26,-21,5,1.0,2021-11-06,NOR,2021
