,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,20,19,1,0,49,14,35,58,3.0,2020-01-02,LIV,2019
2,2,Leicester City,21,14,3,4,46,19,27,45,1.4,2020-01-01,LEI,2019
4,3,Manchester City,21,14,2,5,56,24,32,44,2.4,2020-01-01,MCI,2019
6,4,Chelsea,21,11,3,7,36,29,7,36,1.4,2020-01-01,CHE,2019
8,5,Manchester United,21,8,7,6,32,25,7,31,1.4,2020-01-01,MUN,2019
10,6,Tottenham Hotspur,21,8,6,7,36,30,6,30,1.4,2020-01-01,TOT,2019
12,7,Wolverhampton Wanderers,21,7,9,5,30,27,3,30,1.2,2020-01-01,WOL,2019
14,8,Sheffield United,21,7,8,6,23,21,2,29,1.4,2020-01-02,SHU,2019
16,9,Crystal Palace,21,7,7,7,19,23,-4,28,1.2,2020-01-01,CRY,2019
18,10,Arsenal,21,6,9,6,28,30,-2,27,1.0,2020-01-01,ARS,2019
20,11,Everton,21,7,4,10,24,32,-8,25,1.6,2020-01-01,EVE,2019
22,12,Southampton,21,7,4,10,25,38,-13,25,2.0,2020-01-01,SOU,2019
24,13,Newcastle United,21,7,4,10,20,33,-13,25,0.6,2020-01-01,NEW,2019
26,14,Brighton and Hove Albion,21,6,6,9,25,29,-4,24,1.0,2020-01-01,BHA,2019
28,15,Burnley,21,7,3,11,24,34,-10,24,1.2,2020-01-01,BUR,2019
30,16,West Ham United,20,6,4,10,25,32,-7,22,1.2,2020-01-01,WHU,2019
32,17,Aston Villa,21,6,3,12,27,37,-10,21,1.2,2020-01-01,AVL,2019
34,18,Bournemouth,21,5,5,11,20,32,-12,20,0.8,2020-01-01,BOU,2019
36,19,Watford,21,4,7,10,17,34,-17,19,2.0,2020-01-01,WAT,2019
38,20,Norwich City,21,3,5,13,22,41,-19,14,0.6,2020-01-01,NOR,2019
